,STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry_x,location_id,Sensor Name,sensor_latitude,sensor_longitude,sensor_geometry,Hour,Value
128,19280,-37.825527,10-Swan Street Shopping Centre/Swan St (Richmond),144.996055,1,70,POINT (323633.95064138615 5811650.96208435),,,,,,,
129,19281,-37.82576,11-Church St/Swan St (Richmond),144.998094,1,70,POINT (323813.97780970647 5811628.955159657),,,,,,,
130,19282,-37.826259,12-Coppin St/Swan St (Richmond),145.00258,1,70,POINT (324210.0075102077 5811582.032326689),,,,,,,
131,19283,-37.826506,13-Edinburgh St/Swan St (Burnley),145.004902,1,70,POINT (324414.9692783649 5811558.997031549),,,,,,,
132,19294,-37.826791,14-Burnley St/Swan St (Burnley),145.00736,1,70,POINT (324631.9970576776 5811531.987781949),,,,,,,
133,19295,-37.827048,15-Stawell St/Swan St (Burnley),145.009784,1,70,POINT (324845.9782051401 5811508.025288284),,,,,,,
134,19296,-37.827262,16-Park Gr/Swan St (Burnley),145.011778,1,70,POINT (325021.9600977383 5811488.014154448),,,,,,,
135,19297,-37.827468,17-Madden Gr/Swan St (Burnley),145.016511,1,70,POINT (325439.04985083017 5811474.012970782),,,,,,,
136,19298,-37.826663,18-Yarra Bvd/Swan St (Burnley),145.019554,1,70,POINT (325704.96258760913 5811569.019245608),,,,,,,
137,19299,-37.827393,29-Power St/Riversdale Rd (Hawthorn),145.025443,1,75,POINT (326225.02619186405 5811498.991538053),,,,,,,
138,19299,-37.827393,29-Power St/Riversdale Rd (Hawthorn),145.025443,1,70,POINT (326225.02619186405 5811498.991538053),,,,,,,
139,19384,-37.810829,22-McKay St/Victoria St (Richmond),145.004041,1,12,POINT (324302.03316376806 5813296.985270972),,,,,,,
140,19384,-37.810829,22-McKay St/Victoria St (Richmond),145.004041,1,109,POINT (324302.03316376806 5813296.985270972),,,,,,,
141,19386,-37.811441,24-Burnley St/Victoria St (Richmond),145.010385,1,12,POINT (324861.9708330394 5813240.98800059),,,,,,,
142,19386,-37.811441,24-Burnley St/Victoria St (Richmond),145.010385,1,109,POINT (324861.9708330394 5813240.98800059),,,,,,,
143,19387,-37.811768,25-River Bvd/Victoria St (Richmond),145.013239,1,109,POINT (325114.0012027228 5813210.042880396),,,,,,,
144,19389,-37.812713,27-Findon Cres/Barkers Rd (Kew),145.02062,1,109,POINT (325766.01166865777 5813118.973804809),,,,,,,
145,19454,-37.827623,29-Power St/Riversdale Rd (Hawthorn),145.025709,1,75,POINT (326248.98144126264 5811473.970131336),,,,,,,
146,19454,-37.827623,29-Power St/Riversdale Rd (Hawthorn),145.025709,1,70,POINT (326248.98144126264 5811473.970131336),,,,,,,
147,19456,-37.82642,18-Yarra Bvd/Swan St (Burnley),145.020617,1,70,POINT (325797.95973026135 5811597.967508638),,,,,,,
148,19457,-37.827248,17-Madden Gr/Swan St (Burnley),145.016846,1,70,POINT (325467.99916708237 5811499.046735067),,,,,,,
