location_id,name,place_id
5286108,Yum Yum Dumplings,ChIJGXlk_Tdd1moRFB1zABhnFko
3872475,Yeonga Korean BBQ,ChIJzahLYf5D1moRrem1Q4hSaAA
15613856,Pretty Boy Italian Steakhouse,ChIJmSmRaY9d1moRWrM5V4uzRGs
23159871,Lollo,ChIJ6-6120xd1moRv_VhyogdHqM
25249489,The Angry Dog,ChIJVVXxKEZd1moRxMSM4gkaJZI
255100,Melbourne,ChIJK66M10dd1moR8WJCoqbGJVA
19102663,Panda Hot Pot,ChIJpRmxRrBd1moRYBslBDGGp2Q
5308809,Pho Victoria,ChIJSzb7xTZd1moR0ZQhSKN11tg
23159877,Warabi,ChIJCd8m5bJd1moR8Dzy5pgAIII
23276353,Movenpick Hotel Melbourne On Spencer,ChIJHfxaP_pd1moRuulYBhFBOWs
23381578,279,ChIJwZP-zuRd1moRerW91SboCPE
26301404,Shush Burger by Sean Connolly,ChIJhQbBiZBd1moRrqSbGTrRTig
13786389,Bornga Korean Restaurant,ChIJj-RCijNd1moR5wCG3q2prYs
25430133,215 Queen's Restaurant and Bar Melbourne,ChIJ-dKVVbJd1moRvkegNyHfyjw
5812002,Char Siu House,ChIJCxE66Tld1moRG7axltOI0hA
3872475,Yeonga Korean BBQ,ChIJkxaSjDNd1moR0zZ2rgo5Q9Y
1050531,Maha,ChIJizFTarNC1moRjM6M4Z_OGAg
1858389,Angliss,ChIJ7TaR1khd1moRXCmigET2XdM
3611871,Toodouri,ChIJfyCEiDNd1moRBfl8Fpp4CVI
1077929,Melba Restaurant,ChIJ2fOmZypd1moRGKVP8II2_gY
5033713,Nizams Indian Restaurant,ChIJh20YuDld1moRi2zSQPIFuT0
23414221,Miss Mi,ChIJvxrTqPdd1moRTynlPUYlA2s
11306017,Wonky Trolley,ChIJdQRI7Dld1moRbPrUI3xVym0
1548078,Sosta Ristorante,ChIJb6DBxDld1moRx6XklV4QyZs
4780875,Maria Trattoria,ChIJN7-E-jNd1moRFIhlAbMd6To
4745095,El Sabor,ChIJA8yl2zld1moRIwG5JP_WDuQ
2654747,Errol's Cafe,ChIJse5g9zld1moRKH_lqhWAH9g
12519622,The Rice Cooker,ChIJYeVCBy5d1moRqbFwZ3QQrfc
728841,The Leveson,ChIJK1JxtDBd1moRzCIdZ-QZEAo
4786419,Kl Bunga Raya,ChIJu5_o5jld1moRRSzyKR7wOyI
5021774,Mercure Melbourne Therry Street,ChIJfbcmh4pd1moRSaeMUzJupz4
2529032,Agraba Lebanese Mezze,ChIJ-SRy8Tld1moRpYcmhkpwOeQ
2708603,Mr. Hive,ChIJhxtkpDBd1moRvBtl-eOUcFM
14132082,Joe Taylor,ChIJGTlGxjld1moRXxFaAx2oDI0
3389693,Fandango Cafe,ChIJV3kVEDpd1moRzmljRe6cYSM
5018804,The Castle Hotel Restaurant,ChIJj6-ASjBd1moRywk8vb-TlLE
20831290,Mr Tucker,ChIJY-BD2iJd1moRADZTnHCY2iE
727599,Paris Go Bistro,ChIJq6pz8Tld1moRK3SREy7-bFI
6570695,B'Churrasco Brazilian BBQ,ChIJeTdSUphd1moR55WLsMElvUI
725615,Hot Poppy,ChIJcXFZxjld1moR27sZDTXjkmk
8280071,Hallah Korean Bbq,ChIJk9WjiTNd1moRv0twWUuyz6E
17377806,La Porchetta,ChIJQTI1BjRd1moRtLQyZYj7VUc
257037,Mercure North Melbourne,ChIJvYmX2kVd1moRzSHtpHVCVAY
3872475,Yeonga Korean BBQ,ChIJNaZkiTNd1moRyS7zO4ZppRY
944387,Universal Restaurant,ChIJYWX6tzNd1moRQj1TLz40glw
4845693,Mum Mum Asian Street Food,ChIJbWxv7jld1moRYOcN9A1mv28
24831835,Manze,ChIJ29n5yzBd1moReeHrxSRaMkA
5308687,Toast Kitchen Cafe,ChIJ3-6Iwzld1moRQnzg1_90pYs
4779472,Oskar Pizza,ChIJx708zzld1moRUdFlOTfVb5Q
20376752,Joe's Eatery,ChIJr6dgFV5d1moRvfofAZW-rsk
1227463,Courthouse Hotel,ChIJF4IoBjpd1moRBFzQUpeHtm4
727586,Papa Giuseppe Pizza,ChIJTcXiPTtd1moRjw36UBNKm9s
3915938,Guzman y Gomez - Swanston St,ChIJ6RIHgUZd1moRTHj3G-9tFtw
8483349,Din Tai Fung (Emporium Melbourne),ChIJV3u17Tld1moRfbUCiFVvO6M
3872475,Yeonga Korean BBQ,ChIJhwJU3TNd1moRR-NTelY6Q3o
26361526,ezistrEAT,ChIJA-QSzq5d1moREjfO3uWiS-0
4775374,Town Hall Hotel,ChIJdfbk6jld1moRwElnckgNb9M
756537,Toto's Pizza House,ChIJ0UaHMDtd1moRJXVh0-k_Iec
2654747,Errol's Cafe,ChIJTXWq6Tld1moRr94uliXjTVc
2713169,Komeyui Japanese Restaurant,ChIJyXgUjh5d1moRrKWm5r5s5E0
16726568,Kebab Connection,ChIJTf2AGOpd1moRVexVWdx28VY
5106612,North Melbourne Take Away,ChIJHXj7Ez9d1moRdlP9vhHdpLU
2511491,Auction Rooms,ChIJ0an5tzNd1moRnL-pWh4UMNk
8861982,Salt Seafood & Burger Bar,ChIJJeHtxjld1moRwmVwpj2Nx90
20831290,Mr Tucker,ChIJRS6du5Rd1moRhGF2VCFqo5g
2483527,Kitchen Workshop,ChIJO9jxGR5d1moRO4XXi8ciH6w
3872475,Yeonga Korean BBQ,ChIJneXDRONd1moRa8nexM0pin4
13113158,Dishoom Kensington,ChIJv_uo9_YPdkgRq2K1F6d_5-g
8784793,The Ivy Kensington Brasserie,ChIJ6b_F4fYPdkgRIoJa6hALTWI
14935919,Zuaya London,ChIJz7Bhtd4PdkgRPNgj59cV9tg
11894306,CERU,ChIJjdhaYiwbdkgR_SuA9p18OqU
1388951,Cote Brasserie - Kensington,ChIJAY1NtPcPdkgRXaRO5K1IPco
7602594,Bone Daddies Kensington,ChIJHZJUqvcPdkgR3-c1NQd-A9o
3169695,Spaghetti House Kensington High Street,ChIJF9Hlq_cPdkgR6ThcTDegDBY
193123,Royal Garden Hotel,ChIJ9x-Kq_cPdkgRVwnak02PxI8
7589353,Alexandrie Restaurant,ChIJXbAY7fczcEERQc5DmImVYvg
17385148,Grato,ChIJEyHV70EPdkgR4ltmETic22k
1018426,Prezzo,ChIJvQL4y_cPdkgR_PTPGBOQukM
1017393,Memories of India Kensington,ChIJW1e5NFkFdkgRw_1wF5RLuTY
719675,Launceston Place,ChIJlQFx01gFdkgRkchWrnmDM-E
2399478,Chakra Kensington,ChIJDxwjt-QPdkgRNKTbCos-HE0
733245,Cheneston's Restaurant,ChIJ98briVgFdkgReGYkDvuVXHg
2470813,Da Mario Kensington,ChIJvcvtyV4FdkgR8nnz2S8fVUs
1420213,Town House,ChIJKy64lWcFdkgRjHnXKBLVnoY
13236559,Enoteca Rosso,ChIJFfiE5-0PdkgRGjKjU2oJ3qA
733579,Il Portico,ChIJn-ywB_IPdkgRKaAFvSUsxZs
720981,Zaika,ChIJnbhVw_YPdkgR2FvRK5V9lUc
1016670,Khan's of Kensington,ChIJjQcUp0IFdkgRanlqLHrXn9I
19273823,Eli’s Restaurant,ChIJq-uTY_EFdkgRkoi0u3r6miQ
23678169,Pascor,ChIJxeYTCDMPdkgRWGtgCMvRXlU
7314841,Clarke's,ChIJ01L60vsPdkgRB-UGY6_FoF0
1010111,Scoff And Banter Kensington,ChIJXeC1Cl4FdkgRjBuv6w48XqI
3456295,Fouberts,ChIJM2jO1fcPdkgR_QsNrmXZoTk
23735889,Kensington Quarter,ChIJPSInFzUPdkgR27rOHmUiS2Y
246023,Kensington High Street,ChIJDSPBxfcPdkgRYfyZ81Tl2Vs
8564086,Wright Brothers South Kensington,ChIJA5Gm5GcFdkgRhAQF1LA-tMs
19597706,Megan's on the High Street Restaurant (Kensington),ChIJcf9ZkbgPdkgRTMZ-81h4aQE
1089239,Thai Terrace,ChIJn1EDofYPdkgRZA8yKTvFG0A
