cuisine,place_id,name,formatted_address,user_ratings_total,rating,geometry.location.lat,geometry.location.lng,price_level,suburb,delivery,dine_in,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup
Seafood,ChIJ47mcnIRC1moR8iwvQ9eznQY,Hunky Dory Fish & Chips South Yarra,"670 Chapel St, South Yarra VIC 3141, Australia",647,4.2,-37.8373603,144.9962102,2,South Yarra,TRUE,TRUE,NA,TRUE,FALSE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
Latin,ChIJe_tJ-7VD1moRvLTT4yecfZw,Lona Misa,"234 Toorak Rd, South Yarra VIC 3141, Australia",385,4.6,-37.8396541,144.9948592,NA,South Yarra,FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Japanese,ChIJx2vR3IJC1moReeGxCnG0bSQ,Kanpai,"569 Chapel St, South Yarra VIC 3141, Australia",324,4,-37.8405442,144.9952732,2,South Yarra,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,NA,FALSE
American,ChIJW-4rQCho1moRuSTwOobeODY,Leonards House Of Love,"3 Wilson St, South Yarra VIC 3141, Australia",1960,4.6,-37.8436788,144.9956675,2,South Yarra,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
Italian,ChIJ9f7HQrJC1moRwo_U9X7VL-E,"La Camera, Italian Restaurant","MR2/3 Southgate Ave, Southbank VIC 3006, Australia",1013,4.2,-37.8200651,144.9666394,2,Southbank,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
European,ChIJgZOibbFC1moRsAR-TgIQ340,The Deck Southbank,"UPPER, LEVEL U1/2 Southgate Ave, Southbank VIC 3006, Australia",158,4.3,-37.8201534,144.9668346,3,Southbank,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA
Bar,ChIJFwC1lrJC1moRjtLuCpWlcF0,Left Bank Melbourne Restaurant & Cocktail Bar,"1 Southbank Blvd, Southbank VIC 3006, Australia",4475,4.3,-37.8210084,144.9628614,2,Southbank,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Steakhouse,ChIJjXmoUa1C1moRMhlWBIe9Jpg,The Meat & Wine Co Southbank,"Freshwater Place, 3 Queens Bridge St, Southbank VIC 3006, Australia",3151,4.3,-37.8215461,144.961854,3,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mediterranean,ChIJcScB2rNC1moRZSBo-Wm8C-0,YASSAS - THE GREEK WAY (SOUTHBANK),"4-9, Level M/3 Southgate Ave, Southbank VIC 3006, Australia",1206,4,-37.8201217,144.9661924,2,Southbank,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Italian,ChIJ1zaYQrFC1moRYTQxlnRsC_0,Teatro Restaurant,"37.819757, Southbank Promenade Melbourne VIC 3004, 144/967366 Southbank Promenade, Southbank VIC 3006, Australia",173,4,-37.8198212,144.9673907,2,Southbank,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
