location_id,rating,num_reviews,price_level,cuisine
807493,3.5,117,3,Japanese
8863082,4.5,51,3,American
1100738,4.0,1131,3,Italian
728785,4.0,284,3,European
2559494,3.5,835,3,Bar
1010203,4.0,1468,3,Steakhouse
10200811,4.0,396,3,Mediterranean
9581488,4.0,507,3,Italian
12866890,4.0,126,3,Contemporary
3674369,4.0,649,3,Australian
23774552,4.0,5,3,Asian
2060002,4.0,1567,4,Seafood
722561,3.5,668,3,Contemporary
1918480,4.0,1300,4,Chinese
729050,3.5,566,3,Italian
777277,4.0,926,4,Contemporary
6936645,3.5,70,3,International
10670036,3.0,487,3,Italian
7721151,3.5,460,3,Italian
15068499,4.0,204,4,Argentinean
725954,4.0,54,3,International
783642,4.0,1957,4,Steakhouse
727213,4.0,323,3,Japanese
3619244,4.0,993,4,Italian
726464,4.0,323,4,Japanese
6885990,4.5,63,1,Asian
722266,4.0,624,3,Australian
1226200,4.0,1112,4,French
13973002,3.5,13,1,Asian
6643538,4.0,468,3,Other
16652816,4.5,51,3,Seafood
786674,4.0,1456,4,Japanese
7844745,4.0,1087,3,Italian
1176042,3.5,668,3,Italian
727891,4.0,524,3,Chinese
526956,4.5,2330,3,Other
878050,4.0,1125,4,Seafood
3825098,3.5,301,3,Chinese
4192036,4.0,255,3,Asian
3294225,3.5,132,3,Asian
3447982,4.0,723,3,Japanese
25154761,3.5,10,3,Bar
14932549,4.5,22,3,Japanese
1137940,4.0,432,3,Seafood
2529864,4.5,262,4,International
3188803,4.0,1519,4,Japanese
942644,4.5,483,4,Italian
24123929,4.0,8,3,Asian
13413015,4.5,59,1,Italian
2637291,3.5,588,3,Bar
2714775,3.5,696,3,American
21004847,5.0,7,3,Asian
21387029,0.0,0,3,Australian
9785078,4.0,61,1,Vietnamese
728319,3.5,367,4,Chinese
17739042,4.0,51,3,Asian
4785677,4.0,142,3,Italian
23158167,4.0,36,3,Australian
734777,3.5,1450,1,Other
4890732,4.5,456,3,Mediterranean
14082323,4.5,110,3,Asian
6765132,4.5,1613,3,Japanese
19620026,3.5,34,3,Italian
9873628,4.5,263,3,Australian
5102264,3.5,95,3,Mexican
13133825,5.0,33,3,Chinese
757222,4.5,2037,4,Australian
3523745,4.5,510,3,Steakhouse
12932984,4.0,56,1,American
5308723,4.0,127,3,Italian
23364608,4.5,7,3,Other
8645894,4.0,38,3,Chinese
5067789,4.0,248,3,Seafood
4786536,4.0,52,1,Japanese
4791195,4.5,5,3,Other
26698886,0.0,0,3,Italian
9581521,4.5,28,1,Cafe
15361483,4.0,7,3,Cafe
3343773,4.5,675,3,Steakhouse
7314896,4.0,146,4,Japanese
12413177,4.5,12,3,Other
21049737,3.5,2,3,Other
2319703,3.5,7,3,Fast_food
6586270,4.0,65,3,Other
23858960,0.0,0,3,Japanese
13436999,4.5,80,3,Greek
4176680,4.0,550,3,Asian
20117835,4.0,1,3,Cafe
17848207,4.5,726,2,Other
2423547,3.5,248,3,American
15212053,3.5,2,3,Australian
