id,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,name,rating,number_of_bedrooms,number_of_beds,number_of_baths,suburb,price_class,Longitude,Latitude,geometry,nearby_stops
913190405986374400,343442154,Advante Homes,Melbourne,Entire home/apt,134,1,4,2023-09-02,3.0,154,153,4,Rental unit in Carlton,3.5,2,3,1.0,Carlton,medium,144.9612093,-37.8062683,POINT (320520.2472099443 5813721.638757128),"""7-Queen Victoria Market/Elizabeth St (Melbourne City)"", ""3-Lincoln Square/Swanston St (Carlton)"", ""8-Melbourne Central Station/Swanston St (Melbourne City)"", ""9-Queen Victoria Market/39 Peel St (North Melbourne)"", ""4-Queensberry St/Swanston St (Carlton)"", ""10-Victoria St/Peel St (West Melbourne)"", ""6-Swanston St/La Trobe St (Melbourne City)"", ""8-Peel St/Victoria St (Melbourne City)"", ""5-Melbourne Central Station/Elizabeth St (Melbourne City)"", ""5-Elizabeth St/La Trobe St (Melbourne City)"", ""9-Queen Victoria Market/Peel St (North Melbourne)"", ""7-RMIT University/Swanston St (Melbourne City)"""
959013214237450368,520111045,Amily,Melbourne,Entire home/apt,134,1,3,2023-08-31,3.0,6,39,3,Rental unit in Melbourne,5.0,2,3,1.0,Melbourne,medium,144.95997415843,-37.8109500170708,POINT (320422.8473012672 5813199.753168667),"""7-Queen Victoria Market/Elizabeth St (Melbourne City)"", ""4-Queen St/La Trobe St (Melbourne City)"", ""8-Melbourne Central Station/Swanston St (Melbourne City)"", ""6-Swanston St/La Trobe St (Melbourne City)"", ""5-Elizabeth St/Bourke St (Melbourne City)"", ""3-Bourke Street Mall/Elizabeth St (Melbourne City)"", ""8-Franklin St/Peel St (Melbourne City)"", ""3-William St/La Trobe St (Melbourne City)"", ""4-Queen St/Bourke St (Melbourne City)"", ""5-Melbourne Central Station/Elizabeth St (Melbourne City)"", ""5-Elizabeth St/La Trobe St (Melbourne City)"", ""8-Franklin St/William St (Melbourne City)"", ""7-RMIT University/Swanston St (Melbourne City)"", ""7-Flagstaff Railway Station/William St (Melbourne City)"""
17927228,38299309,Hanh,Melbourne,Entire home/apt,133,30,124,2022-07-22,1.58,3,114,0,Rental unit in Melbourne,4.59,1,1,1.0,Melbourne,medium,144.96401,-37.81673,POINT (320792.1267022451 5812566.122045233),"""5-Swanston St/Flinders St (Melbourne City)"", ""4-Collins St/William St (Melbourne City)"", ""2-Collins St/Elizabeth St (Melbourne City)"", ""3-William St/Flinders Lane (Melbourne City)"", ""3-Bourke Street Mall/Elizabeth St (Melbourne City)"", ""6-Melbourne Town Hall/Collins St (Melbourne City)"", ""6-Swanston St/Bourke St (Melbourne City)"", ""1-Flinders Street Railway Station/Elizabeth St (Melbourne City)"", ""5-Elizabeth St/Collins St (Melbourne City)"", ""3-William St/Collins St (Melbourne City)"", ""2-Flinders Lane/Market St (Melbourne City)"", ""5-Elizabeth St/Bourke St (Melbourne City)"", ""3-Market St/Flinders St (Melbourne City)"", ""4-Queen St/Bourke St (Melbourne City)"", ""4-Elizabeth St/Flinders St (Melbourne City)"", ""13-Federation Square/Swanston St (Melbourne City)"", ""1-Flinders St/Queens Bridge St (Melbourne City)"", ""11-City Square/Swanston St (Melbourne City)"", ""10-Bourke Street Mall/Swanston St (Melbourne City)"""
27883685,461853213,Eduardo,Melbourne,Entire home/apt,133,2,52,2023-08-11,0.86,61,343,23,Rental unit in Melbourne,4.37,1,1,1.0,Melbourne,medium,144.9559,-37.82113,POINT (320088.8940149693 5812062.2779119685),"""3-William St/Collins St (Melbourne City)"", ""115-Casino East/Queens Bridge St (Southbank)"", ""D5-South Wharf/Wurundjeri Way (Docklands)"", ""1-Spencer St/Flinders St (Melbourne City)"", ""2-Melbourne Aquarium/Flinders St (Melbourne City)"", ""122-Southern Cross Railway Station/Spencer St (Melbourne City)"", ""1-Flinders St/Queens Bridge St (Melbourne City)"", ""D15-Batman's Hill/Collins St (Docklands)"", ""124-Batman Park/Spencer St (Melbourne City)"", ""D6-Flinders Street West/Flinders St (Docklands)"", ""115-Casino/Southbank/Queens Bridge St (Southbank)"", ""124A-Casino/MCEC/Clarendon St (Southbank)"", ""D14-Southern Cross Station/Collins St (Docklands)"", ""4-Collins St/William St (Melbourne City)"", ""1-Spencer St/Bourke St (Melbourne City)"", ""D6-Victoria Police Centre/Flinders St (Southbank)"", ""1-Spencer St/Collins St (Melbourne City)"", ""3-William St/Flinders Lane (Melbourne City)"""
40842759,1739996,Paul & Dan,Melbourne,Entire home/apt,133,2,141,2023-08-30,3.11,98,129,59,Rental unit in Southbank,4.77,1,1,1.0,Southbank,medium,144.95683,-37.82684,POINT (320184.6184293438 5811430.450965706),"""126-City Rd/Clarendon St (South Melbourne)"", ""127-York St/Clarendon St (South Melbourne)"", ""125A-Southbank Tram Depot/Light Rail (South Melbourne)"", ""126-City Rd/Light Rail (South Melbourne)"", ""125-Port Junction/79 Whiteman St (Southbank)"", ""124A-Casino/MCEC/Clarendon St (Southbank)"", ""116-City Rd/Kings Way (Southbank)"", ""125-Clarendon St/Whiteman St (Southbank)"""
658343189864594176,29355650,Shailla,Melbourne,Entire home/apt,133,2,4,2023-06-04,0.37,3,0,4,Condo in Melbourne,4.5,2,1,1.0,South Yarra - West,medium,144.97771,-37.84076,POINT (322055.8728093945 5809925.804613007),"""123-Fawkner Park/Toorak Rd (South Yarra)"", ""24-Leopold St/St Kilda Rd (South Melbourne)"", ""25-Commercial Rd/St Kilda Rd (South Melbourne)"", ""23-Arthur St/St Kilda Rd (Melbourne City)"", ""25-Commercial Rd/St Kilda Rd (Melbourne City)"", ""24-Leopold St/St Kilda Rd (Melbourne City)"""
690219718472075392,295955198,August,Melbourne,Entire home/apt,133,1,80,2023-09-01,6.9,2,115,80,Rental unit in Melbourne,4.86,1,1,1.0,Melbourne,medium,144.9608489,-37.8082901,POINT (320493.4136786391 5813496.595101549),"""7-Queen Victoria Market/Elizabeth St (Melbourne City)"", ""4-Queen St/La Trobe St (Melbourne City)"", ""8-Melbourne Central Station/Swanston St (Melbourne City)"", ""9-Queen Victoria Market/39 Peel St (North Melbourne)"", ""4-Queensberry St/Swanston St (Carlton)"", ""6-Swanston St/La Trobe St (Melbourne City)"", ""7-Russell St/La Trobe St (Melbourne City)"", ""8-Franklin St/Peel St (Melbourne City)"", ""8-Peel St/Victoria St (Melbourne City)"", ""5-Melbourne Central Station/Elizabeth St (Melbourne City)"", ""5-Elizabeth St/La Trobe St (Melbourne City)"", ""9-Queen Victoria Market/Peel St (North Melbourne)"", ""7-RMIT University/Swanston St (Melbourne City)"""
746634288862573312,496941607,Audrey And Willem,Melbourne,Entire home/apt,133,2,14,2023-08-26,1.38,21,334,14,Rental unit in Southbank,4.86,1,1,1.0,Southbank,medium,144.95975,-37.82641,POINT (320440.58662257966 5811483.785590241),"""126-City Rd/Clarendon St (South Melbourne)"", ""127-York St/Clarendon St (South Melbourne)"", ""115-Casino/Southbank/Queens Bridge St (Southbank)"", ""125-Port Junction/79 Whiteman St (Southbank)"", ""124A-Casino/MCEC/Clarendon St (Southbank)"", ""116-City Rd/Kings Way (Southbank)"", ""125-Clarendon St/Whiteman St (Southbank)"""
803968795134102272,165769427,Natalie,Melbourne,Private room,133,2,8,2023-08-21,1.06,1,191,8,Home in East Melbourne,5.0,1,1,1.0,East Melbourne,medium,144.979873,-37.817281,POINT (322189.8560320084 5812535.298551399),"""11-Jolimont Station-MCG/Wellington Pde (East Melbourne)"", ""9-Lansdowne St/Wellington Pde (Melbourne City)"", ""7A-William Barak Bridge/Melbourne Park (Melbourne City)"", ""9-Lansdowne St/Wellington Pde (East Melbourne)"", ""7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City)"", ""10-Jolimont Rd/Wellington Pde (East Melbourne)"""
811737935695731840,44920032,A&E,Melbourne,Entire home/apt,133,1,31,2023-08-28,4.25,5,56,31,Rental unit in Melbourne,4.87,1,1,1.0,Melbourne,medium,144.955358320285,-37.8159693058279,POINT (320028.67719992565 5812633.897584472),"""3-William St/Bourke St (Melbourne City)"", ""3-William St/Collins St (Melbourne City)"", ""1-Spencer St/La Trobe St (Melbourne City)"", ""120-Lonsdale St/Spencer St (Melbourne City)"", ""3-William St/Flinders Lane (Melbourne City)"", ""122-Southern Cross Railway Station/Spencer St (Melbourne City)"", ""119-Spencer St/La Trobe St (Melbourne City)"", ""D14-Southern Cross Station/Collins St (Docklands)"", ""3-William St/La Trobe St (Melbourne City)"", ""4-Queen St/Bourke St (Melbourne City)"", ""119-La Trobe St/Spencer St (Melbourne City)"", ""2-King St/La Trobe St (Melbourne City)"", ""4-Collins St/William St (Melbourne City)"", ""1-Spencer St/Bourke St (Melbourne City)"", ""1-Spencer St/Collins St (Melbourne City)"", ""7-Flagstaff Railway Station/William St (Melbourne City)"", ""5-Bourke St/William St (Melbourne City)"""
