id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32070282,Rental unit in Collingwood · ★5.0 · 1 bedroom · 1 bed · 2 baths,39463782,Michael,,Yarra,-37.806,144.98631,Private room,75,1,39,2019-11-19,0.70,1,0,0,
32073988,Loft in North Warrandyte · ★4.94 · 1 bedroom · 1 bed · 1 bath,20097214,Andrew,,Nillumbik,-37.72805,145.21326,Entire home/apt,181,1,244,2023-09-02,4.45,1,216,49,
32231054,Rental unit in Box Hill North · 1 bedroom · 1 bed · 1.5 shared baths,233552616,Jia,,Whitehorse,-37.80516,145.13589,Private room,50,1,2,2020-03-23,0.05,2,0,0,
32076491,Rental unit in Hampton · 3 bedrooms · 4 beds · 2 baths,108927355,Bill,,Bayside,-37.93442,145.0036,Entire home/apt,900,1,1,2022-01-01,0.05,1,90,0,
32231562,Townhouse in Reservoir · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,212763398,David,,Darebin,-37.72619,145.00041,Private room,55,3,6,2020-02-28,0.11,1,0,0,
32244089,Home in Point Cook · ★4.91 · 5 bedrooms · 5 beds · 3.5 baths,60150904,Lei,,Wyndham,-37.90509,144.77826,Entire home/apt,159,90,11,2019-06-04,0.20,1,0,0,
32472230,Rental unit in Elsternwick · 1 bedroom · 1 bed · 1 bath,22783549,Ashley,,Glen Eira,-37.88029,145.00827,Entire home/apt,100,2,0,,,1,0,0,
32476059,Villa in Glen Waverley · 3 bedrooms · 4 beds · 1.5 baths,153463800,Yunfei,,Monash,-37.86983,145.18379,Private room,268,2,2,2019-08-26,0.04,5,308,0,
32077435,Rental unit in South Melbourne · ★4.86 · 2 bedrooms · 3 beds · 1 bath,45176796,James,,Port Phillip,-37.84022,144.96082,Entire home/apt,175,3,71,2023-01-26,1.30,1,36,13,
32477181,Rental unit in Melbourne · ★4.47 · 1 bedroom · 1 bed · 1 private bath,108448984,Cat,,Melbourne,-37.80966,144.95584,Private room,68,1,19,2020-01-19,0.35,1,0,0,
32245986,Rental unit in Hawthorn · ★4.56 · Studio · 1 bed · 1 bath,142899001,Elle,,Boroondara,-37.82337,145.04411,Entire home/apt,80,2,64,2023-08-28,1.18,1,354,10,
32247087,Townhouse in Northcote · 2 bedrooms · 2 beds · 1 shared bath,242014787,Mark,,Darebin,-37.78035,144.99923,Private room,1000,1,0,,,1,365,0,
32081875,Home in Ringwood East · ★4.53 · 2 bedrooms · 3 beds · 1 bath,45784296,Lina,,Maroondah,-37.82176,145.24891,Entire home/apt,114,12,60,2022-12-29,1.09,1,361,1,
32250113,Home in Sunshine West · ★4.81 · 3 bedrooms · 5 beds · 1 bath,122979750,Dee,,Brimbank,-37.80311,144.81121,Entire home/apt,112,4,31,2023-04-10,0.57,36,296,11,
32481744,Home in Brunswick · 1 bedroom · 1 bed · 1 shared bath,140597204,Brennan,,Moreland,-37.76108,144.95615,Private room,34,6,1,2019-06-03,0.02,1,0,0,
32082254,Guesthouse in Melbourne · 1 bedroom · 1 bed · 1 shared bath,234895605,Yifan,,Melbourne,-37.80864,144.95568,Private room,40,1,1,2019-03-05,0.02,1,0,0,
32481978,Rental unit in Box Hill · ★4.17 · 2 bedrooms · 1 bed · 1 bath,242418632,Fabuliving,,Whitehorse,-37.81484,145.11632,Entire home/apt,90,1,6,2022-06-27,0.12,14,0,0,
32483579,Rental unit in Melbourne · ★4.87 · 2 bedrooms · 2 beds · 1 bath,8724303,Amelia,,Melbourne,-37.81043,144.96187,Entire home/apt,350,14,119,2023-04-02,2.16,2,0,1,
32270149,Rental unit in Saint Kilda · ★4.75 · 1 bedroom · 1 bed · 1 bath,241783629,Anya,,Port Phillip,-37.86379,144.98333,Entire home/apt,72,1,130,2023-07-09,2.38,1,0,14,
32089253,Townhouse in Caulfield South · 2 bedrooms · 3 beds · 2 baths,240669570,Elvira,,Glen Eira,-37.89694,145.02684,Entire home/apt,350,3,0,,,1,83,0,
32273693,Rental unit in Melbourne · ★4.82 · 1 bedroom · 1 bed · 1 bath,166693997,Bunny,,Melbourne,-37.81203,144.95921,Entire home/apt,105,3,94,2020-04-03,1.71,3,0,0,
32496874,Rental unit in Melbourne · ★4.67 · Studio · 1 bed · 1 bath,669279,Chammy,,Melbourne,-37.81693,144.96503,Entire home/apt,105,4,211,2023-08-21,3.84,8,38,37,
32093147,Rental unit in Southbank · ★4.56 · 1 bedroom · 1 bed · 1 bath,231362699,Ashley,,Melbourne,-37.82561,144.95736,Entire home/apt,296,2,9,2023-01-30,0.19,2,0,6,
32273824,Rental unit in Melbourne · ★4.47 · 1 bedroom · 1 bed · 1 bath,230288014,Andres,,Melbourne,-37.81525,144.95277,Entire home/apt,127,1,183,2023-08-17,3.33,1,19,36,
32094289,Rental unit in Clayton · 1 bedroom · 1 bed · 1 shared bath,240730699,Mihir,,Monash,-37.91879,145.1368,Private room,28,11,2,2019-07-21,0.04,1,0,0,
32276842,Rental unit in Docklands · ★4.56 · 2 bedrooms · 2 beds · 2 baths,97104757,Saleh,,Melbourne,-37.81403,144.94873,Entire home/apt,90,365,18,2020-01-09,0.35,2,179,0,
32283820,Condo in Southbank · ★4.59 · 3 bedrooms · 3 beds · 2 baths,187215364,Ernst,,Melbourne,-37.82829,144.95618,Entire home/apt,858,3,27,2023-04-09,0.52,5,137,4,
32292929,Villa in Dixons Creek · ★5.0 · 2 bedrooms · 2 beds · 2 baths,12336757,Tinne,,Yarra Ranges,-37.60643,145.43747,Entire home/apt,905,2,33,2023-08-05,0.62,3,302,7,
32293083,Villa in Glen Waverley · 1 bedroom · 1 bed · 1.5 baths,153463800,Yunfei,,Monash,-37.86813,145.18248,Private room,109,2,2,2019-09-06,0.04,5,307,0,
32499707,Rental unit in Malvern East · ★5.0 · 1 bedroom · 1 bed · 1 bath,54922321,Janine,,Stonnington,-37.87769,145.05411,Entire home/apt,110,3,40,2023-08-19,0.75,1,63,4,
32501074,Home in Moorabbin · ★4.64 · 1 bedroom · 1 bed · 1 bath,244207137,Stella,,Kingston,-37.93877,145.04592,Private room,66,1,11,2023-08-30,2.54,2,40,11,
32501559,Rental unit in Saint Kilda · 1 bedroom · 1 bed · 1 bath,164802973,Chloe,,Port Phillip,-37.87166,144.98031,Entire home/apt,100,2,0,,,1,0,0,
32096900,Rental unit in Melbourne · ★4.79 · 3 bedrooms · 3 beds · 1.5 baths,229473208,Elissa,,Melbourne,-37.81558,144.96528,Entire home/apt,380,2,114,2023-02-26,2.05,5,89,8,
32502553,Townhouse in Brunswick · ★5.0 · 2 bedrooms · 2 beds · 3.5 baths,244173029,Georgie,,Moreland,-37.76507,144.97013,Entire home/apt,375,2,57,2023-04-02,1.04,1,0,19,
32100055,Home in Footscray · ★4.78 · 1 bedroom · 1 bed · 2 shared baths,59301951,Ethan,,Maribyrnong,-37.80271,144.90298,Private room,55,2,50,2023-08-26,0.90,10,227,16,
32293389,Rental unit in Parkville · 1 bedroom · 1 bed · 1 shared bath,157357029,Haoming,,Melbourne,-37.78278,144.95853,Private room,60,7,1,2019-02-11,0.02,1,0,0,
32107034,Guest suite in Frankston South · ★4.96 · 1 bedroom · 2 beds · 1 bath,170814521,Jennifer,,Frankston,-38.16143,145.11666,Entire home/apt,87,2,94,2022-02-22,1.84,1,0,0,
32295025,Rental unit in Box Hill · ★4.54 · 2 bedrooms · 2 beds · 1 bath,242418632,Fabuliving,,Whitehorse,-37.81484,145.11632,Entire home/apt,105,1,13,2022-07-29,0.24,14,0,0,
32502890,Guesthouse in Hughesdale · ★4.97 · 1 bedroom · 1 bed · 1 bath,11491071,Gill,,Monash,-37.89584,145.08646,Entire home/apt,110,2,113,2023-08-30,2.06,1,108,44,
32675398,Home in Strathmore · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,333668819,Kishka,,Moonee Valley,-37.7371,144.91032,Entire home/apt,170,3,14,2020-01-26,0.26,1,0,0,
32503800,Home in Wyndham Vale · 1 bedroom · 1 shared bath,244234898,SaBa,,Wyndham,-37.88213,144.6074,Private room,200,7,0,,,1,90,0,
32296324,Rental unit in Box Hill · ★4.31 · 2 bedrooms · 2 beds · 1 bath,242418632,Fabuliving,,Whitehorse,-37.8215,145.12601,Entire home/apt,105,1,13,2022-06-08,0.23,14,0,0,
32676247,Serviced apartment in Lilydale · ★4.50 · 1 bedroom · 3 beds · 1 bath,98322639,Ziqing,,Yarra Ranges,-37.75647,145.35692,Entire home/apt,212,1,4,2023-06-11,0.12,7,42,1,
32297187,Rental unit in Northcote · 2 bedrooms · 2 beds · 2 baths,41796553,Klaudia,,Darebin,-37.76705,145.00033,Entire home/apt,130,2,1,2019-02-15,0.02,1,0,0,
32696995,Rental unit in Melbourne · ★4.73 · 1 bedroom · 3 beds · 1 bath,162316655,Harriet,,Melbourne,-37.81569,144.95524,Entire home/apt,104,1,183,2023-09-04,3.34,30,82,48,
32697476,Home in Rowville · 1 bedroom · 1 bed · 1 shared bath,18912175,Ryan,,Knox,-37.91577,145.2624,Private room,85,2,1,2020-01-30,0.02,1,180,0,
32314168,Serviced apartment in Melbourne · 2 bedrooms · 2 beds · 1 bath,242585298,Treasury On Collins,,Melbourne,-37.81675,144.96121,Entire home/apt,697,4,1,2019-09-10,0.02,4,58,0,
32314265,Rental unit in Southbank · ★4.62 · 1 bedroom · 1 bed · 1 bath,347595664,Alex,,Melbourne,-37.8279,144.9592,Entire home/apt,135,2,69,2023-07-23,1.25,31,325,12,
32698913,Rental unit in Saint Kilda · ★4.71 · 1 bedroom · 1 bed · 1 bath,7119268,Sarah,,Port Phillip,-37.85564,144.96967,Entire home/apt,147,2,65,2022-04-23,1.19,1,0,0,
32315388,Rental unit in Melbourne · ★4.93 · 3 bedrooms · 3 beds · 2 baths,242598760,Jeff,,Melbourne,-37.80829,144.96085,Entire home/apt,203,2,56,2020-01-31,1.02,1,0,0,
32706949,Rental unit in Melbourne · ★4.71 · 3 bedrooms · 5 beds · 2 baths,29406728,Lenny,,Melbourne,-37.81118,144.96542,Entire home/apt,439,2,118,2023-08-27,2.17,5,272,63,
32321138,Rental unit in Docklands · ★5.0 · 1 bedroom · 1 bed · 1 bath,69492346,Alice,,Melbourne,-37.81412,144.94153,Entire home/apt,105,2,25,2019-09-05,0.46,1,0,0,
32504416,Rental unit in Southbank · 2 bedrooms · 3 beds · 2 baths,178846036,Debra,,Melbourne,-37.82212,144.96406,Entire home/apt,799,3,0,,,3,253,0,
