name,address,type,website,latitude,longitude,category
East Melbourne Library,"122 George Street, East Melbourne, 3002",Library,http://www.melbourne.vic.gov.au/community/libraries/Pages/libraries.aspx,-37.81527551487422,144.9863774281896,music_venues
Highlander Bar,"11A Highlander Lane, Melbourne, 3000",Bar,http://highlanderbar.squarespace.com/,-37.81969180587922,144.9580106038663,music_venues
InterContinental Melbourne The Rialto,"487-503 Collins Street, Melbourne, 3000",Accommodation,https://www.melbourne.intercontinental.com/,-37.81812958399533,144.95792591365702,music_venues
Whitehart Bar,"Rear, 359 Lonsdale Street, Melbourne, 3000",,,-37.81255176993681,144.9618356969375,music_venues
Boney,"68 Little Collins Street, Melbourne, 3000",Venue,http://www.boney.net.au/,-37.81290578487124,144.97136869242834,music_venues
Magic Mountain Saloon,"62 Little Collins Street, Melbourne, 3000",Bar,http://www.magicmountainsaloon.com.au/,-37.812865395242035,144.97150999418588,music_venues
Munich Brauhaus,"45 South Wharf Promenade, South Wharf, 3006",Hotel,http://www.munichbrauhaus.com/,-37.82407576505346,144.95043329351685,music_venues
P.J. O'Brien's,"Shop 12-16, Ground, 3 Southgate Avenue, Southbank, 3006",Hotel,http://www.pjobriens.com.au/southbank/,-37.82033397996246,144.9664180424327,music_venues
Wonderland Under the Melbourne Star,"Shop 5, 101 Waterfront Way, Docklands, 3008",Amusement/Theme Venue,https://www.melbournestar.com/?gclid=CjwKCAiAmb7RBRATEiwA7kS8VBQVMosVIhqHOV3pMaapzYqC9b15mj8JCZDZ2QitiLOvI-qVdKuh5hoCTtgQAvD_BwE,-37.811708257763414,144.93818411601958,music_venues
Golden Monkey,"Basement & Rear, 389 Lonsdale Street, Melbourne, 3000",Bar,http://goldenmonkey.com.au/,-37.81278386278497,144.96103223580576,music_venues
White Rabbit Record Bar,"176 Bellair Street, Kensington, 3031",Bar,http://www.whiterabbitrecords.com.au/White_Rabbit_Record_Bar/home.html,-37.79363079251513,144.9300832037398,music_venues
The Croft Institute,"21-25 Croft Alley, Melbourne, 3000",Nightclub,http://www.thecroftinstitute.com.au/,-37.8120527407846,144.96912389323862,music_venues
The General Assembly,"29 South Wharf Promenade, South Wharf, 3006",Hotel,http://www.thegeneralassembly.com.au/,-37.82411828690496,144.95189029706034,music_venues
National Gallery of Victoria,"180 St Kilda Road, Southbank, 3006",Amusement/Theme Venue,https://www.ngv.vic.gov.au/,-37.82289869795763,144.9695692957962,music_venues
Exford Hotel,"199-203 Russell Street, Melbourne, 3000",Hotel,http://www.exfordhotel.com.au/,-37.81176295391396,144.96743873754548,music_venues
Sea Life Melbourne Aquarium,"Sea Life Melbourne Aquarium, King Street, Melbourne, 3000",Amusement/Theme Venue,https://www.melbourneaquarium.com.au/,-37.8209995658432,144.95804714265464,music_venues
The Plenary Hall,"2 Clarendon Street, South Wharf, 3006",Multi-use,http://mcec.com.au/plan-an-event/rooms/plenary/,-37.823627136260576,144.9560231776494,music_venues
Ormond Hall,"17 Church Street, Parkville, 3052",Performance space,https://www.onlymelbourne.com.au/ormond-hall,-37.78783638375116,144.9416332134173,music_venues
Library at The Dock,"107 Victoria Harbour Promenade, Docklands, 3008",Multi-use,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/the-dock/library-at-the-dock/Pages/library-at-the-dock.aspx,-37.819873054704324,144.94075608935833,music_venues
The Barre,"100 St Kilda Road, Southbank, 3006",Bar,https://www.artscentremelbourne.com.au/your-visit/eat-drink-shop-rest/the-barre,-37.82150031142338,144.96900573614997,music_venues
Groove Live Bar and Terrace,"Casino, 8 Whiteman Street, Southbank, 3006",,,-37.8237160520609,144.9573055755779,music_venues
Cookie,"Unit S2, Level 1, 252 Swanston Street, Melbourne, 3000",Bar,http://www.cookie.net.au/,-37.812105299613584,144.9651302795867,music_venues
401 The Order,"Level 2 & Roof, 401 Swanston Street, Melbourne, 3000",Bar,http://www.theorder.com.au/,-37.809036429996624,144.96337709793107,music_venues
Fabrique Bar,"272 City Road, Southbank, 3006",Nightclub,http://www.fabriquebar.com/,-37.82629052318406,144.95944606241918,music_venues
The Charles Dickens Tavern,"Basement, 290 Collins Street, Melbourne, 3000",Hotel,https://whatson.melbourne.vic.gov.au/DiningandNightlife/BarsandPubs/AllPubs/Pages/4952.aspx,-37.81593815528815,144.96453019096924,music_venues
Meat Market Art Centre,"36-54 Courtney Street, North Melbourne, 3051",Theatre,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/meat-market/Pages/meat-market.aspx,-37.80159050732829,144.95372820780835,music_venues
Clyde Hotel,"377-389 Cardigan Street, Carlton, 3053",Hotel,https://www.theclydehotel.com.au/location/,-37.797284200523016,144.965847915991,music_venues
The Carlton,"193-199 Bourke Street, Melbourne, 3000",Hotel,http://www.thecarlton.com.au/,-37.81309470257678,144.9676166993641,music_venues
Tramp Bar,"Basement, 20 King Street, Melbourne, 3000",Nightclub,https://trampbar.com/,-37.819775804387085,144.95746975329038,music_venues
Southbank Library at Boyd,"Ground, 207 City Road, Southbank, 3006",Library,http://www.melbourne.vic.gov.au/community/libraries/locations/Pages/locations.aspx,-37.8253171546193,144.96107200523335,music_venues
Melbourne Savage Club,"The Melbourne Savage Club, 12-16 Bank Place, Melbourne, 3000",Nightclub,http://melbournesavageclub.com/,-37.81658693170178,144.96043647413035,music_venues
Khokolat Bar,"Basement, 43-49 Hardware Lane, Melbourne, 3000",Nightclub,http://khokolatbar.com.au/,-37.81359471929996,144.96117047987784,music_venues
Father's Office,"249 Little Lonsdale Street, Melbourne, 3000",Bar,http://fathersoffice.com.au/,-37.81051763850372,144.9646508376141,music_venues
Shed 14/Peninsula,"161 Harbour Esplanade, Docklands, 3008",Performance space,https://www.residentadvisor.net/club.aspx?id=14337,-37.81596806067532,144.94497289363386,music_venues
Royal Standard Hotel,"333-337 William Street, West Melbourne, 3003",Hotel,http://www.royalstandardhotel.com.au/,-37.80777173629092,144.9544061811974,music_venues
Gin Palace,"10 Russell Place, Melbourne, 3000",Bar,http://www.ginpalace.com.au/,-37.81385598389118,144.96744878525442,music_venues
Rod Laver Arena,"Rod Laver Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004",Performance space,https://www.rodlaverarena.com.au/,-37.82258727739611,144.97777394537906,music_venues
West Space Inc,"Level 1, 225 Bourke Street, Melbourne, 3000",Multi-use,https://westspace.org.au/,-37.81328852220956,144.96695028225128,music_venues
The Metropolitan Hotel,"The Metropolitan Hotel, 263-265 William Street, Melbourne, 3000",Hotel,http://metropolitan.melbourne/,-37.812911404982586,144.95676240471337,music_venues
The Hotel Windsor,"103-137 Spring Street, Melbourne, 3000",Hotel,http://www.thehotelwindsor.com.au/,-37.81195937492122,144.97313628316482,music_venues
Fad Gallery,"Gnd & Flr1, 14 Corrs Lane, Melbourne, 3000",Bar,http://fadgallery.com.au/,-37.811235398938436,144.9683349834688,music_venues
Penny Blue,"2 Driver Lane, Melbourne, 3000",Bar,https://pennyblue.com.au/,-37.81282106809502,144.96298868379125,music_venues
Vodka Temple,"Ground, 160-162 Lygon Street, Carlton, 3053",Nightclub,https://www.vodkatemple.com.au/,-37.80345202353251,144.9666383380664,music_venues
Union Electric,"13 Heffernan Lane, Melbourne, 3000",Bar,http://unionelectric.com.au/,-37.811773258347344,144.9666888906996,music_venues
Three Crowns Hotel,"361-365 Victoria Street, West Melbourne, 3003",Hotel,https://www.threecrownshotel.com.au/,-37.8052879130126,144.9494898220434,music_venues
Seamstress Restaurant and Bar,"113 Lonsdale Street, Melbourne, 3000",Bar,http://www.seamstress.com.au/prod/,-37.81046224853603,144.96895746044424,music_venues
European Bier Café,"120 Exhibition Street, Melbourne, 3000",bar,http://europeanbiercafe.com.au/,-37.81285332078208,144.97110417388942,music_venues
Arbory Bar and Eatery,"2 Flinders Walk, Melbourne, 3000",Bar,http://arbory.com.au/,-37.81890972470938,144.96679263372738,music_venues
Touche Hombre,"237 Lonsdale Street, Melbourne, 3000",Bar,https://www.touchehombre.com.au/,-37.81150165387338,144.9654399624449,music_venues
AIM (Australian Institute of Music),"Gnd & Levels 1 -3, 120 King Street, Melbourne, 3000",Recording,http://www.aim.edu.au/,-37.81726158549317,144.95622460343756,music_venues
St Michael's Uniting Church,"St Michaels Uniting Church, 122-136 Collins Street, Melbourne, 3000",Church,http://stmichaels.org.au/,-37.81452691849391,144.96935205119595,music_venues
The Kelvin Club,"Kelvin Club, 14-30 Melbourne Place, Melbourne, 3000",,,-37.8132350970678,144.96883724816743,music_venues
The Leveson,"46 Leveson Street, North Melbourne, 3051",Hotel,http://theleveson.melbourne/,-37.80370793018695,144.951185078014,music_venues
Cherry Bar,"Basement, 103 Flinders Lane, Melbourne, 3000",Venue,http://cherrybar.com.au/,-37.815376525088666,144.97089701596647,music_venues
Victorian Arts Centre Trust,"Carpark, 100 St Kilda Road, Southbank, 3006",Multi-use,https://www.artscentremelbourne.com.au/about-us/media-centre/2017/may/victorian-arts-centre-trust,-37.82144364943292,144.9688880032937,music_venues
Eden Bar,"Level 1, 163-165 Russell Street, Melbourne, 3000",Nightclub,http://edenbar.com.au/,-37.81248788571263,144.9677712185572,music_venues
