address,latitude,created date,longitude,organisation,classification,name,category,title,type,website,tree common name,tree scientific name,planted date,theme,sub theme,info,female,male,wheelchair,operator,baby_facil
"City Square approximately 11m SW of Dior, 209 Collins Street, Melbourne, 3000",-37.815522370963386,2000,144.96699434684948,City of Melbourne,Sculpture,John Mockridge Fountain,artworks,,,,,,,,,,,,,,
"Shrine of Remembrance Reserve approximately 71m North of Melbourne Grammar School, Wadhurst Campus, Melbourne Grammar School, 1 Domain Road, Melbourne, 3004",-37.8323774586129,1934,144.9729342609244,City of Melbourne,Memorials,Macpherson Robertson Fountain,artworks,,,,,,,,,,,,,,
"Kings Domain South approximately 36m NW of The Gardens Shop, Gardens Shop, 100 Birdwood Avenue, Melbourne, 3004",-37.82975546446717,1965,144.97441978122478,City of Melbourne,Sculpture,Edward George Honey Memorial,artworks,,,,,,,,,,,,,,
"150 Collins Street approximately 6m West of Victorian Chamber Of Commerce And Industry, Ground, Pt Lvl 2 & Level 3, 150 Collins Street, Melbourne, 3000",-37.814805087629836,1995,144.96838103517445,City of Melbourne,Sculpture,Another View Site 17,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 41m NW of Holy Trinity Anglican Church, 72-80 Clarendon Street, East Melbourne, 3002",-37.81384199949477,1936,144.98275871683995,City of Melbourne,Sculpture,Mermaid and Fish,artworks,,,,,,,,,,,,,,
"Bourke Street between Russell Street and Swanston Street approximately 12m West of Vodafone, Shop 1-3, Ground, 255-267 Bourke Street, Melbourne, 3000",-37.813524890597556,1998,144.96591286716105,City of Melbourne,Sculpture,Electric Supply Box D,artworks,,,,,,,,,,,,,,
"City Square approximately 11m South of Three Below, Shop 3, 207 Collins Street, Melbourne, 3000",-37.81613995849352,2000,144.9673081996758,City of Melbourne,Sculpture,Looking Glass,artworks,,,,,,,,,,,,,,
"Approximately 29m NW of 43 Wurundjeri Way, Docklands, 3008",-37.81960598167001,2003,144.9513254111904,VicUrban,Unknown,Parallax,artworks,,,,,,,,,,,,,,
Flinders & Spencer Street Reserve,-37.82090066454161,2013,144.95469275536306,City of Melbourne,,Raising the Rattler Pole,artworks,,,,,,,,,,,,,,
Carlton Gardens South,-37.80545677024263,1880,144.97136832705928,City of Melbourne,Sculpture,Exhibition Fountain,artworks,,,,,,,,,,,,,,
"Docklands Park approximately 71m East of 72 Geographe Street, Docklands, 3008",-37.82023232968245,2004,144.94632509501722,City of Melbourne,Sculpture,Reed Vessel,artworks,,,,,,,,,,,,,,
"Exhibition Building & Melbourne Museum approximately 28m South of Royal Exhibition Building, 9 Nicholson Street, Carlton, 3053",-37.80509129697919,c1888,144.97341733159385,City of Melbourne,Memorials,Westgarth Drinking Fountain,artworks,,,,,,,,,,,,,,
"Approximately 46m NW of 74 Canning Street, North Melbourne, 3051",-37.79535266830282,1995,144.9406873459674,City of Melbourne,Sculpture,Bird Panels,artworks,,,,,,,,,,,,,,
"Lincoln Square approximately 51m NW of Yahveh Asian Grocery, 600 Swanston Street, Carlton, 3053",-37.802484110270704,2003,144.9632428416034,City of Melbourne,Sculpture,Bali Memorial,artworks,,,,,,,,,,,,,,
"Swanston Street between Flinders Lane and Collins Street approximately 25m NW of A Prickly Affair, City Pillar, 74 Swanston Street, Melbourne, 3000",-37.81563369944254,1865,144.96670400596955,City of Melbourne,Sculpture,Burke and Wills Monument,artworks,,,,,,,,,,,,,,
"Life Lab approximately 9m NE of NBN, Ground & Lvls 1-2 & 4, 192 Harbour Esplanade, Docklands, 3008",-37.81430288960753,2008,144.94495681027365,VicUrban,Sculpture,Colony,artworks,,,,,,,,,,,,,,
Chinatown Plaza,-37.81114211029683,2011,144.96928691505966,,Sculpture,Dr Sun Yat Sen,artworks,,,,,,,,,,,,,,
"Council House approximately 13m NE of Up There, 208 Little Collins Street, Melbourne, 3000",-37.81405489268127,1970,144.96733869785558,City of Melbourne,Sculpture,Australia Today and Tomorrow,artworks,,,,,,,,,,,,,,
"Birrarung Marr approximately 97m South of Birrarung Marr, Batman Avenue, Melbourne, 3000",-37.81891097559535,1936,144.97302122652613,City of Melbourne,Memorials,Stapley Memorial Drinking Fountain,artworks,,,,,,,,,,,,,,
"Royal Park approximately 26m SW of Mar Thoma Syrian Church Australia, 149 Royal Parade, Parkville, 3052",-37.791550224794335,1925,144.95808647651077,City of Melbourne,Memorials,Parkville Diggers Memorial (WWI Memorial),artworks,,,,,,,,,,,,,,
"Newquay Central approximately 56m North of Almina @ Docklands, 106 Newquay Promenade, Docklands, 3008",-37.81528506774349,2006,144.9387694921899,VicUrban,Sculpture,Walk of Stars,artworks,,,,,,,,,,,,,,
"St Kilda Road between Southbank Boulevard and Grant Street approximately 67m North of Faculty Of The VCA & Music, Building 871, 204-234 St Kilda Road, Southbank, 3006",-37.823612183804784,1908,144.97041853309003,,Sculpture,Edmund FitzGibbon Memorial,artworks,,,,,,,,,,,,,,
"Costco approximately 92m North of Nando's, Ground, 1 Star Circus, Docklands, 3008",-37.8113298032748,2009,144.93795521998828,VicUrban,Sculpture,Heavy Metal Jam Session,artworks,,,,,,,,,,,,,,
Queen Victoria Gardens,-37.822028087763435,1974,144.97035525342713,City of Melbourne,Sculpture,The Pathfinder,artworks,,,,,,,,,,,,,,
"Digital Drive approximately 64m NW of O-Bento, Shop 2, Ground, 990 La Trobe Street, Docklands, 3008",-37.81394408497868,2012,144.94655537163678,,Unknown,Structure of Vortices,artworks,,,,,,,,,,,,,,
Sidney Myer Music Bowl,-37.824013514390046,1964,144.97415155124347,City of Melbourne,Sculpture,Miraggio [also known as Seated Figure],artworks,,,,,,,,,,,,,,
"Swanston Street between Little Lonsdale Street and La Trobe Street approximately 49m East of Melbourne Central Station, 183-201 La Trobe Street, Melbourne, 3000",-37.80982754352814,1992,144.9640460882066,City of Melbourne,Sculpture,Architectural Fragment,artworks,,,,,,,,,,,,,,
Riverside Quay Reserve,-37.82115251478746,1996,144.96423807327005,City of Melbourne,Sculpture,Faultline,artworks,,,,,,,,,,,,,,
Exhibition Building & Melbourne Museum,-37.80376916863335,1997,144.97213425650625,City of Melbourne,Sculpture,Lie of the Land,artworks,,,,,,,,,,,,,,
Royal Park,-37.78892811780881,1890,144.95605810687638,City of Melbourne,Sculpture,Burke & Wills Cairn,artworks,,,,,,,,,,,,,,
"Queensbridge Square approximately 16m NE of Sandridge Rail Bridge, Southbank, 3006",-37.82007937885384,2005,144.96296054938466,City of Melbourne,Sculpture,The Travellers,artworks,,,,,,,,,,,,,,
Queen Victoria Gardens,-37.822153249778246,1973,144.9709506469274,City of Melbourne,Sculpture,The Phoenix,artworks,,,,,,,,,,,,,,
"Treasury Gardens approximately 10m East of 2-18 Spring Street, East Melbourne, 3002",-37.8143735830792,1903,144.974719996297,City of Melbourne,Sculpture,Robert Burns Memorial,artworks,,,,,,,,,,,,,,
"Flagstaff Gardens approximately 38m South of City of Melbourne, Flagstaff Gardens Tennis Courts, Flagstaff Gardens, 311 William Street, West Melbourne, 3003",-37.81026398841038,1930,144.9550390225417,City of Melbourne,Sculpture,The Court Favourite,artworks,,,,,,,,,,,,,,
"Swanston Street between Little Lonsdale Street and La Trobe Street approximately 31m NE of Unit 1102, 339 Swanston Street, Melbourne, 3000",-37.81009689038864,1992,144.96416511332632,City of Melbourne,Sculpture,Painted Poles 1 [State Library of Victoria],artworks,,,,,,,,,,,,,,
"Flagstaff Gardens approximately 88m NE of Haileybury City, Basement , Ground & Level 1-9, 383 King Street, West Melbourne, 3003",-37.810801354472574,1871,144.95395452560433,City of Melbourne,Sculpture,Pioneer Monument,artworks,,,,,,,,,,,,,,
"Lygon Street between Faraday Street and Elgin Street approximately 7m North of Heartattack and Vine, 329 Lygon Street, Carlton, 3053",-37.79759910577447,1981,144.96730652384852,City of Melbourne,Memorials,Dinny O''''Hearn Fountain,artworks,,,,,,,,,,,,,,
"Queen Victoria Market approximately 20m South of Market Espresso & Trolley Hire, Trolley Hire, Queen Victoria Market, Victoria Street, Melbourne, 3000",-37.80813550681884,1881,144.95764591736565,City of Melbourne,Sculpture,John Batman Memorial,artworks,,,,,,,,,,,,,,
"Swanston Street between Bourke Street and Little Bourke Street approximately 7m NE of Haigh's Chocolates, Shop 6, 201 Swanston Street, Melbourne, 3000",-37.81295406528951,1992,144.96526492561978,City of Melbourne,Sculpture,Personal Islands,artworks,,,,,,,,,,,,,,
"Princes Park approximately 93m West of Princes Park Carlton Bowls Club, Princes Park, 109 Bowen Crescent, Carlton North, 3054",-37.77886822107428,1995,144.9611151855207,City of Melbourne,Sculpture,Within Three Worlds,artworks,,,,,,,,,,,,,,
"Enterprize Park approximately 54m East of Enterprize Park, 469-503 Flinders Street, Melbourne, 3000",-37.82010166444847,2001,144.9594543545535,City of Melbourne,Indigenous,Scar - A Stolen Vision,artworks,,,,,,,,,,,,,,
