address,latitude,created date,longitude,organisation,classification,name,category,title,type,website,tree common name,tree scientific name,planted date,theme,sub theme,info,female,male,wheelchair,operator,baby_facil
"193-199 Bourke Street, Melbourne, 3000",-37.81309470257678,,144.9676166993641,,,The Carlton,music_venues,,Hotel,http://www.thecarlton.com.au/,,,,,,,,,,,
"Basement, 20 King Street, Melbourne, 3000",-37.819775804387085,,144.95746975329038,,,Tramp Bar,music_venues,,Nightclub,https://trampbar.com/,,,,,,,,,,,
"Ground, 207 City Road, Southbank, 3006",-37.8253171546193,,144.96107200523335,,,Southbank Library at Boyd,music_venues,,Library,http://www.melbourne.vic.gov.au/community/libraries/locations/Pages/locations.aspx,,,,,,,,,,,
"The Melbourne Savage Club, 12-16 Bank Place, Melbourne, 3000",-37.81658693170178,,144.96043647413035,,,Melbourne Savage Club,music_venues,,Nightclub,http://melbournesavageclub.com/,,,,,,,,,,,
"Basement, 43-49 Hardware Lane, Melbourne, 3000",-37.81359471929996,,144.96117047987784,,,Khokolat Bar,music_venues,,Nightclub,http://khokolatbar.com.au/,,,,,,,,,,,
"249 Little Lonsdale Street, Melbourne, 3000",-37.81051763850372,,144.9646508376141,,,Father's Office,music_venues,,Bar,http://fathersoffice.com.au/,,,,,,,,,,,
"161 Harbour Esplanade, Docklands, 3008",-37.81596806067532,,144.94497289363386,,,Shed 14/Peninsula,music_venues,,Performance space,https://www.residentadvisor.net/club.aspx?id=14337,,,,,,,,,,,
"333-337 William Street, West Melbourne, 3003",-37.80777173629092,,144.9544061811974,,,Royal Standard Hotel,music_venues,,Hotel,http://www.royalstandardhotel.com.au/,,,,,,,,,,,
"10 Russell Place, Melbourne, 3000",-37.81385598389118,,144.96744878525442,,,Gin Palace,music_venues,,Bar,http://www.ginpalace.com.au/,,,,,,,,,,,
"Rod Laver Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004",-37.82258727739611,,144.97777394537906,,,Rod Laver Arena,music_venues,,Performance space,https://www.rodlaverarena.com.au/,,,,,,,,,,,
"Level 1, 225 Bourke Street, Melbourne, 3000",-37.81328852220956,,144.96695028225128,,,West Space Inc,music_venues,,Multi-use,https://westspace.org.au/,,,,,,,,,,,
"The Metropolitan Hotel, 263-265 William Street, Melbourne, 3000",-37.812911404982586,,144.95676240471337,,,The Metropolitan Hotel,music_venues,,Hotel,http://metropolitan.melbourne/,,,,,,,,,,,
"103-137 Spring Street, Melbourne, 3000",-37.81195937492122,,144.97313628316482,,,The Hotel Windsor,music_venues,,Hotel,http://www.thehotelwindsor.com.au/,,,,,,,,,,,
"Gnd & Flr1, 14 Corrs Lane, Melbourne, 3000",-37.811235398938436,,144.9683349834688,,,Fad Gallery,music_venues,,Bar,http://fadgallery.com.au/,,,,,,,,,,,
"2 Driver Lane, Melbourne, 3000",-37.81282106809502,,144.96298868379125,,,Penny Blue,music_venues,,Bar,https://pennyblue.com.au/,,,,,,,,,,,
"Ground, 160-162 Lygon Street, Carlton, 3053",-37.80345202353251,,144.9666383380664,,,Vodka Temple,music_venues,,Nightclub,https://www.vodkatemple.com.au/,,,,,,,,,,,
"13 Heffernan Lane, Melbourne, 3000",-37.811773258347344,,144.9666888906996,,,Union Electric,music_venues,,Bar,http://unionelectric.com.au/,,,,,,,,,,,
"361-365 Victoria Street, West Melbourne, 3003",-37.8052879130126,,144.9494898220434,,,Three Crowns Hotel,music_venues,,Hotel,https://www.threecrownshotel.com.au/,,,,,,,,,,,
"113 Lonsdale Street, Melbourne, 3000",-37.81046224853603,,144.96895746044424,,,Seamstress Restaurant and Bar,music_venues,,Bar,http://www.seamstress.com.au/prod/,,,,,,,,,,,
"120 Exhibition Street, Melbourne, 3000",-37.81285332078208,,144.97110417388942,,,European Bier Café,music_venues,,bar,http://europeanbiercafe.com.au/,,,,,,,,,,,
"2 Flinders Walk, Melbourne, 3000",-37.81890972470938,,144.96679263372738,,,Arbory Bar and Eatery,music_venues,,Bar,http://arbory.com.au/,,,,,,,,,,,
"237 Lonsdale Street, Melbourne, 3000",-37.81150165387338,,144.9654399624449,,,Touche Hombre,music_venues,,Bar,https://www.touchehombre.com.au/,,,,,,,,,,,
"Gnd & Levels 1 -3, 120 King Street, Melbourne, 3000",-37.81726158549317,,144.95622460343756,,,AIM (Australian Institute of Music),music_venues,,Recording,http://www.aim.edu.au/,,,,,,,,,,,
"St Michaels Uniting Church, 122-136 Collins Street, Melbourne, 3000",-37.81452691849391,,144.96935205119595,,,St Michael's Uniting Church,music_venues,,Church,http://stmichaels.org.au/,,,,,,,,,,,
"Kelvin Club, 14-30 Melbourne Place, Melbourne, 3000",-37.8132350970678,,144.96883724816743,,,The Kelvin Club,music_venues,,,,,,,,,,,,,,
"46 Leveson Street, North Melbourne, 3051",-37.80370793018695,,144.951185078014,,,The Leveson,music_venues,,Hotel,http://theleveson.melbourne/,,,,,,,,,,,
"Basement, 103 Flinders Lane, Melbourne, 3000",-37.815376525088666,,144.97089701596647,,,Cherry Bar,music_venues,,Venue,http://cherrybar.com.au/,,,,,,,,,,,
"Carpark, 100 St Kilda Road, Southbank, 3006",-37.82144364943292,,144.9688880032937,,,Victorian Arts Centre Trust,music_venues,,Multi-use,https://www.artscentremelbourne.com.au/about-us/media-centre/2017/may/victorian-arts-centre-trust,,,,,,,,,,,
"Level 1, 163-165 Russell Street, Melbourne, 3000",-37.81248788571263,,144.9677712185572,,,Eden Bar,music_venues,,Nightclub,http://edenbar.com.au/,,,,,,,,,,,
"27-29 Tattersalls Lane, Melbourne, 3000",-37.8117627149045,,144.9654889438025,,,Section 8 Bar,music_venues,,Bar,https://section8.com.au/,,,,,,,,,,,
"184-192 Collins Street, Melbourne, 3000",-37.81509631361538,,144.96731018907587,,,Athenaeum Theatre,music_venues,,Theatre,http://www.athenaeumtheatre.com.au/,,,,,,,,,,,
"Shop 2, 47-55 Little Bourke Street, Melbourne, 3000",-37.8108890793276,,144.97103359901016,,,The Bodega,music_venues,,Bar,https://www.facebook.com/thebodegabar/,,,,,,,,,,,
"Suite 1, Ground, 135 Sturt Street, Southbank, 3006",-37.827341922099656,,144.96636533745024,,,Abbey Road Institute,music_venues,,Recording,https://abbeyroadinstitute.com.au/,,,,,,,,,,,
"Ground, 20-24 Bond Street, Melbourne, 3000",-37.818180434552545,,144.96282893879925,,,Bond Lounge Bar,music_venues,,Nightclub,http://www.bondmelbourne.com.au/,,,,,,,,,,,
"LwrGround, 25 Bank Place, Melbourne, 3000",-37.81630543173182,,144.9602164244812,,,Marrakech Bar,music_venues,,Nightclub,http://www.marrakechcocktailbar.com.au/,,,,,,,,,,,
"54-60 King Street, Melbourne, 3000",-37.81895269154036,,144.95708651070385,,,Inflation Nightclub/Top Yard Rooftop Bar,music_venues,,Nightclub,http://www.inflation.com.au/aboutus.htm,,,,,,,,,,,
"234-236 Domain Road, South Yarra, 3141",-37.83444869858646,,144.98562037149898,,,The Langham,music_venues,,Hotel,http://www.langhamhotels.com/en/the-langham/melbourne/,,,,,,,,,,,
"171 Elgin Street, Carlton, 3053",-37.797432725686676,,144.96879689682868,,,The Shaw Davey Slum,music_venues,,Bar,http://theshawdaveyslum.com.au/,,,,,,,,,,,
"Berth 10, Victoria Harbour, Docklands, 3008",-37.817380564148905,,144.9423023877635,,,Victoria Star Cruises,music_venues,,Venue,http://www.victoriastar.com.au/,,,,,,,,,,,
"169 Domain Road, South Yarra, 3141",-37.83414391594419,,144.98179263809277,,,The Botanical,music_venues,,Hotel,http://www.thebotanical.com.au/,,,,,,,,,,,
"8 Whiteman Street, Southbank, 3006",-37.82248526641422,,144.96005414679885,,,Level 3 at Crown,music_venues,,Nightclub,http://www.level3atcrown.com.au/,,,,,,,,,,,
"Basement, 55 Elizabeth Street, Melbourne, 3000",-37.81697659904653,,144.96422322338523,,,Fiftyfive,music_venues,,Bar,http://www.fifty-five.com.au/,,,,,,,,,,,
"Shop 311, Level 3, 300 Lonsdale Street, Melbourne, 3000",-37.81016156449148,,144.96340822349765,,,Asian Beer Café,music_venues,,Bar,http://asianbeercafe.com.au/,,,,,,,,,,,
"Shop 10, Campbell Arcade, Melbourne, 3000",-37.81780039372033,,144.96608291162394,,,Sticky Institute,music_venues,,Bar,http://www.stickyinstitute.com/,,,,,,,,,,,
"Basement, 24 Block Place, Melbourne, 3000",-37.815398812509436,,144.96439685314675,,,Basement Discs,music_venues,,Performance space,http://www.basementdiscs.com.au/,,,,,,,,,,,
"Ground, 19-23 Meyers Place, Melbourne, 3000",-37.81212244439291,,144.97221043633814,,,Loop Project Space & Bar,music_venues,,Bar,http://www.looponline.com.au/,,,,,,,,,,,
"Shop 4, 4 Riverside Quay, Southbank, 3006",-37.82109278417599,,144.96374450927075,,,Hopscotch Urban Beer Bar,music_venues,,Bar,https://www.hopscotchmelbourne.com.au/,,,,,,,,,,,
"199-219 Exhibition Street, Melbourne, 3000",-37.81089990679512,,144.96984175787586,,,Her Majesty's Theatre,music_venues,,Theatre,http://www.hmt.com.au/,,,,,,,,,,,
"27 Little Collins Street, Melbourne, 3000",-37.812646032283375,,144.9726492304484,,,Sheraton Hotel Melbourne,music_venues,,Accommodation,http://www.sheratonmelbourne.com/,,,,,,,,,,,
"33 Block Place, Melbourne, 3000",-37.81530880548056,,144.96431671833355,,,Café Segovia,music_venues,,,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d722884-Reviews-Cafe_Segovia-Melbourne_Victoria.html,,,,,,,,,,,
"Unit S15, Level 7, 252 Swanston Street, Melbourne, 3000",-37.81197919475205,,144.96513374198747,,,Curtin House,music_venues,,Bar,http://curtinhouse.com/,,,,,,,,,,,
"188-200 King Street, Melbourne, 3000",-37.815558987309416,,144.95553316188418,,,La Di Da,music_venues,,Nightclub,https://www.ladidapeople.com/,,,,,,,,,,,
"Unit 20, Basement, 35 Elizabeth Street, Melbourne, 3000",-37.817391733040644,,144.96433989015495,,,The Sub Club,music_venues,,,,,,,,,,,,,,
"178-204 Palmerston Street, Carlton, 3053",-37.795962230869854,,144.9687595076568,,,Church of All Nations,music_venues,,Church,http://carlton-uca.org/news/,,,,,,,,,,,
"233 Lonsdale Street, Melbourne, 3000",-37.81146925497217,,144.9655499214504,,,The Emerald Peacock,music_venues,,Bar,http://theemeraldpeacock.com/,,,,,,,,,,,
"Gnd & Bmt, 2 Drewery Place, Melbourne, 3000",-37.81119498448426,,144.9640484516178,,,Baroq House,music_venues,,,,,,,,,,,,,,
"Basement, 334-342 City Road, Southbank, 3006",-37.82794971778835,,144.95742336165304,,,XE54 Nightclub,music_venues,,,,,,,,,,,,,,
"Gnd & Level 1, 14 Raglan Street, North Melbourne, 3051",-37.80432381180095,,144.95011526791205,,,Club Voltaire,music_venues,,Venue,https://www.facebook.com/clubvoltairemelbourne/,,,,,,,,,,,
"2 Lygon Street, Carlton, 3053",-37.80683784363076,,144.96605581842582,,,Trades Hall,music_venues,,Bar,https://www.bellaunion.com.au/,,,,,,,,,,,
"Basement, 2-6 Parliament Place, East Melbourne, 3002",-37.81168447518055,,144.97552005641302,,,Mr Tod,music_venues,,Multi-use,http://www.mrtod.com.au/,,,,,,,,,,,
"508-514 Flinders Street, Melbourne, 3000",-37.820280653979886,,144.95723615975294,,,Waterside Hotel,music_venues,,,,,,,,,,,,,,
"225 King Street, Melbourne, 3000",-37.81498068947084,,144.95490184835984,,,Victoria University,music_venues,,Multi-use,https://www.vu.edu.au/,,,,,,,,,,,
"Shop 53, Level 2, 8 Whiteman Street, Southbank, 3006",-37.823635015853306,,144.95781296125432,,,Co.,music_venues,,Nightclub,http://www.level3atcrown.com.au/,,,,,,,,,,,
"Young And Jacksons Hotel, 1 Swanston Street, Melbourne, 3000",-37.81736432768269,,144.96721031538397,,,Young & Jackson,music_venues,,Hotel,https://www.youngandjacksons.com.au/,,,,,,,,,,,
"5-17 Flemington Road, North Melbourne, 3051",-37.80095036830012,,144.95617406859978,,,RMIT Student Union (RMIT Village),music_venues,,Public University/College,https://www.mystudentvillage.com/au/rmit-village/,,,,,,,,,,,
"LwrGround, 121-131 Collins Street, Melbourne, 3000",-37.81548538501546,,144.96956538490497,,,Spice Market,music_venues,,Nightclub,http://www.spicemarket.net.au/,,,,,,,,,,,
"497 Queensberry Street, North Melbourne, 3051",-37.80332009816263,,144.95076027104383,,,Sokol Melbourne,music_venues,,Hotel,http://www.sokolmelbourne.com.au/,,,,,,,,,,,
"Basement & LwrGround, 45 Flinders Lane, Melbourne, 3000",-37.81476781579968,,144.97298148815318,,,fortyfive downstairs,music_venues,,Bar,http://www.fortyfivedownstairs.com/wp2016/,,,,,,,,,,,
"Level 1, 26 Errol Street, North Melbourne, 3051",-37.80449837044193,,144.94954077158977,,,The Comic's Lounge,music_venues,,Venue,https://www.thecomicslounge.com.au/,,,,,,,,,,,
"95-101 Flinders Lane, Melbourne, 3000",-37.81533364912343,,144.97103885657114,,,Garden State Hotel,music_venues,,Hotel,http://gardenstatehotel.com.au/,,,,,,,,,,,
"Alexandra Avenue, Melbourne, 3004",-37.82080257920049,,144.97185569304133,,,Alexandra Gardens,music_venues,,Performance space,http://www.visitmelbourne.com/regions/High-Country/Travel-information/Visitor-information-centres/Alexandra-Visitor-Information-Centre.aspx,,,,,,,,,,,
"Level 1, 7-9 Waratah Place, Melbourne, 3000",-37.811626300807845,,144.96709845288777,,,Manchuria,music_venues,,Bar,http://www.manchuriabar.com/,,,,,,,,,,,
"Tenancy 29, Level 2, 2 Swanston Street, Melbourne, 3000",-37.81828956913258,,144.96896893362114,,,Transit Rooftop Bar,music_venues,,Hotel,https://transitrooftopbar.com.au/,,,,,,,,,,,
"Building 8, RMIT University, 360 Swanston Street, Melbourne, 3000",-37.80877875813838,,144.96362521955905,,,Building 8,music_venues,,Multi-use,https://www.rmit.edu.au/,,,,,,,,,,,
"Unit S3-S4, Level 2, 252 Swanston Street, Melbourne, 3000",-37.81204362060309,,144.96521148704275,,,The Toff in Town,music_venues,,Venue,https://www.thetoffintown.com/,,,,,,,,,,,
"Ground, 1 Southbank Boulevard, Southbank, 3006",-37.820988535980156,,144.9625166793894,,,Left Bank Melbourne,music_venues,,Bar,http://www.leftbankmelbourne.com.au/,,,,,,,,,,,
"163-181 Spring Street, Melbourne, 3000",-37.810683700820334,,144.97255452673397,,,The Princess Theatre,music_venues,,Theatre,https://marrinergroup.com.au/venues/princess-theatre,,,,,,,,,,,
"Melbourne Recital Centre, 31 Sturt Street, Southbank, 3006",-37.82430328303502,,144.9672846102551,,,Melbourne Recital Centre,music_venues,,Performance space,https://www.melbournerecital.com.au/,,,,,,,,,,,
"Elliott Avenue, Parkville, 3052",-37.78535415162557,,144.9531734126854,,,Melbourne Zoo,music_venues,,Performance space,https://www.zoo.org.au/melbourne,,,,,,,,,,,
"115-127 Russell Street, Melbourne, 3000",-37.81364054478455,,144.96829657234807,,,The Crafty Squire,music_venues,,Hotel,http://www.thecraftysquire.com.au/,,,,,,,,,,,
"488 Swanston Street, Carlton, 3053",-37.805459370954416,,144.96327549662402,,,Arrow On Swanston,music_venues,,Venue,http://www.arrowonswanston.com.au/,,,,,,,,,,,
"Ground, 4 Riverside Quay, Southbank, 3006",-37.821090034747975,,144.96358553751085,,,Soho Restaurant and Bar,music_venues,,,,,,,,,,,,,,
,-37.829281417041294,,144.97392578211125,,,,plaques,6th field ambulance,,,Lemon Scented Gum,Corymbia citriodora,2010-08-27,,,,,,,,
,-37.82846660030073,,144.9728488289509,,,,plaques,4th division signal company,,,Manchurian Pear,Pyrus ussuriensis,2011-09-06,,,,,,,,
,-37.83249707841591,,144.97462749069217,,,,plaques,hmas castlemaine,,,Golden Poplar,Populus x canadensis,1998-02-09,,,,,,,,
,-37.831485084303864,,144.9745032547264,,,,plaques,carry on (victoria),,,Cork Oak,Quercus suber,2012-07-03,,,,,,,,
,-37.82787550189755,,144.97279547334418,,,,plaques,ceylon,,,White Cedar,Melia azedarach,2010-10-20,,,,,,,,
,-37.83038381306261,,144.97242800017446,,,,plaques,1st aust field hospital,,,Stone Pine,Pinus pinea,2010-08-30,,,,,,,,
,-37.83114377811199,,144.97450668080737,,,,plaques,royal australian navy,,,tba,Cupressus sempervirens Stricta,2000-01-02,,,,,,,,
,-37.83100907053461,,144.97582291081636,,,,plaques,1939 - 1945 fairmile ships of the royal australian navy,,,Turkey Oak,Quercus cerris,1998-04-09,,,,,,,,
,-37.828892667569995,,144.97378541866044,,,,plaques,mediterranean r.a.a.f.,,,Lemon Scented Gum,Corymbia citriodora,2010-08-27,,,,,,,,
,-37.82900343069038,,144.97237262203444,,,,plaques,2/43 battalion,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.83102768154598,,144.9745995026191,,,,plaques,royal australian navy 1939 - 1945,,,Daimyo Oak,Quercus dentata,1998-04-09,,,,,,,,
,-37.83122080077399,,144.97203945402583,,,,plaques,australian sappers,,,Holm Oak,Quercus ilex,2010-08-30,,,,,,,,
,-37.831693778320194,,144.97527233354396,,,,plaques,h.m.a.s. warrnambool,,,Japanese Chestnut Oak,Quercus acutissima,2012-07-03,,,,,,,,
,-37.82736432265406,,144.97224934141337,,,,plaques,3rd division artillery.,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.827281644329084,,144.97364974976497,,,,plaques,peace tree,,,,,,,,,,,,,
,-37.832166711860516,,144.97354893179607,,,,plaques,no.4 squadron australian flying corps,,,London Plane,Platanus acerifolia,1998-07-09,,,,,,,,
,-37.82730813685313,,144.9720742083139,,,,plaques,13th light horse regiments.,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.83059672278496,,144.97461424222743,,,,plaques,australians and greeks,,,tba,Olea europaea,1998-04-09,,,,,,,,
,-37.82851588843667,,144.97262342768624,,,,plaques,46th battalion,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.83199254948672,,144.974755478909,,,,plaques,'n' class destroyers of the 7th destroyers flotilla,,,Cork Oak,Quercus suber,2010-09-10,,,,,,,,
,-37.83152728947547,,144.97242135116656,,,,plaques,2/14th australian field regiment,,,Argyle Apple,Eucalyptus cinerea,1998-07-09,,,,,,,,
,-37.831271763213856,,144.9742877550359,,,,plaques,australian submarine ae2,,,Oak,Quercus coccifera,1998-04-09,,,,,,,,
,-37.82830993024372,,144.97322827839452,,,,plaques,57th battalion,,,Spotted Gum,Corymbia maculata,2012-09-06,,,,,,,,
,-37.832421781569224,,144.97331027544303,,,,plaques,headquaters 3rd division,,,Chinese Elm,Ulmus parvifolia,2011-10-06,,,,,,,,
,-37.8281794371218,,144.97191458201368,,,,plaques,2/6 australian infantry battalion,,,Spotted Gum,Corymbia maculata,2000-01-02,,,,,,,,
,-37.82842086207845,,144.97306583876082,,,,plaques,23rd battalion,,,Spotted Gum,Corymbia maculata,2000-01-01,,,,,,,,
,-37.83013109907542,,144.97431122735125,,,,plaques,india r.a.a.f.,,,Moreton Bay Fig,Ficus macrophylla,2014-10-28,,,,,,,,
,-37.832516217526646,,144.97383865113932,,,,plaques,78 squadron raaf,,,Chinese Liquidambar,Liquidambar formosana,2014-10-02,,,,,,,,
,-37.832117118242046,,144.9746836717465,,,,plaques,merchant navy,,,Algerian Oak,Quercus canariensis,1998-03-09,,,,,,,,
,-37.83135612849709,,144.97433578166624,,,,plaques,h.m.a.s vampire,,,UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,,,,,,,,
,-37.832660644979015,,144.97371119131355,,,,plaques,hmas mildura,,,Grey Poplar,Populus x canescens,1998-08-09,,,,,,,,
,-37.83103751930554,,144.9746999015222,,,,plaques,the royal australian naval nursing service (r.a.n.n.s.),,,Lilly Pilly,Syzygium smithii,2000-01-02,,,,,,,,
,-37.831340335754305,,144.9741773712386,,,,plaques,h.m.a. motor launches 430 and 827,,,Pin Oak,Quercus palustris,1998-04-09,,,,,,,,
,-37.83001565222123,,144.97182453583466,,,,plaques,7th australian division army service corps,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.82930957162753,,144.97361381216012,,,,plaques,3rd light horse field ambulance,,,UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,,,,,,,,
,-37.828665254692076,,144.97293462651294,,,,plaques,imperial russian forces,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.82736809887927,,144.97188260236823,,,,plaques,3rd cavalry regiment,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.8285669377496,,144.97243229020964,,,,plaques,2nd/3rd australian pioneer battaltion,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.82984433810733,,144.97234244329104,,,,plaques,6th division cavalry regiment,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.82849170342644,,144.97192557389698,,,,plaques,australian women's army service,,,Spotted Gum,Corymbia maculata,2000-01-02,,,,,,,,
,-37.82901454029214,,144.97329523335668,,,,plaques,united kingdom,,,English Oak,Quercus robur,1998-07-09,,,,,,,,
,-37.83078252475611,,144.97428307083808,,,,plaques,raaf 49,,,Bhutan Cypress,Cupressus torulosa,2015-04-15,,,,,,,,
,-37.82778811617614,,144.9738493781532,,,,plaques,mayoress (mrs w.j.brens),,,,,,,,,,,,,
,-37.828639346974704,,144.97210002350786,,,,plaques,2/21 australian infantry battalion,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.831739379034055,,144.9747275202476,,,,plaques,h.m.a.s. canberra,,,Chestnut Oak,Quercus michauxii,1998-04-09,,,,,,,,
,-37.83238330821724,,144.97389182693794,,,,plaques,2/4 aust. field regiment royal aust. artillery 7 australian division,,,London Plane,Platanus acerifolia,1998-08-09,,,,,,,,
,-37.8281083856233,,144.97242507338888,,,,plaques,21st battalion,,,,,,,,,,,,,
,-37.83114377811199,,144.97450668080737,,,,plaques,royal australian navy,,,tba,Cupressus sempervirens Stricta,2000-01-02,,,,,,,,
,-37.82901228282192,,144.97373999429766,,,,plaques,2/2 field company r.a.e. 6th division engineers,,,Flame Tree,Brachychiton acerifolius,2010-08-30,,,,,,,,
,-37.830548467575355,,144.9717955153379,,,,plaques,2/3rd australian light anti-aircraft regiment,,,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,,,,,,,,
,-37.82909527107172,,144.97188666465084,,,,plaques,9th australian division cavalry regiment 2/9th australian cavalry commando regiment,,,Desert Ash,Fraxinus angustifolia,1998-07-09,,,,,,,,
,-37.83181247496687,,144.97331945057172,,,,plaques,10 squadron raaf strike first,,,Dawn Redwood,Metasequoia glyptostroboides,1998-07-09,,,,,,,,
,-37.831227642688,,144.97421658524627,,,,plaques,royal new zealand navy,,,Pohutukawa,Metrosideros excelsa,1998-04-09,,,,,,,,
,-37.8307037938507,,144.97204974755397,,,,plaques,the corps of the royal australian electrical and mechanical engineers,,,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,,,,,,,,
,-37.82992782441288,,144.97399876742824,,,,plaques,r.a.a.f. - united kingdom,,,Spotted Gum,Corymbia maculata,1998-02-09,,,,,,,,
,-37.83248119982511,,144.9734481783028,,,,plaques,r.a.a.f. w.a.a.a.f. training squadrons and support units,,,English Oak,Quercus robur,2011-10-06,,,,,,,,
,-37.83135971351849,,144.9748060753539,,,,plaques,h.m.a.s. hobart,,,Mahogany Gum,Eucalyptus botryoides,1998-04-09,,,,,,,,
,-37.83160994325141,,144.9750140912037,,,,plaques,h.m.a.s. sydney,,,Algerian Oak,Quercus canariensis,1998-03-09,,,,,,,,
,-37.831478132819775,,144.97480635943555,,,,plaques,h.m.a.s. australia,,,Flowering Gum,Corymbia ficifolia,2000-01-02,,,,,,,,
,-37.83143042424667,,144.97531771009426,,,,plaques,h.m.a.s ballarat,,,Bogong Gum,Eucalyptus chapmaniana,1998-03-09,,,,,,,,
,-37.83057641458183,,144.97262803872255,,,,plaques,australian army water transport,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.83196110933539,,144.9752276432538,,,,plaques,h.m.a.s. geelong,,,Algerian Oak,Quercus canariensis,1998-03-09,,,,,,,,
,-37.82891758654078,,144.97314416193322,,,,plaques,8th battalion,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.82842561268578,,144.97220608515528,,,,plaques,2/1 australian machine gun battalion,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.827167013867054,,144.97201672000386,,,,plaques,"imperial camel corps, 5th light horse brigade.",,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.83140749181213,,144.97302659620308,,,,plaques,air training corps,,,London Plane,Platanus acerifolia,1998-07-09,,,,,,,,
,-37.83092666297623,,144.972552551185,,,,plaques,the veterans' federation of the republic of vietnam in australia,,,,,,,,,,,,,
,-37.82868707541504,,144.97319182644748,,,,plaques,women who served,,,,,,,,,,,,,
,-37.831342688697845,,144.972214956105,,,,plaques,royal australian army service corps,,,Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,,,,,,,,
,-37.82901228282192,,144.97373999429766,,,,plaques,2nd field company engineers,,,Flame Tree,Brachychiton acerifolius,2010-08-30,,,,,,,,
,-37.828801298969346,,144.97214773973676,,,,plaques,2/9th australian field ambulance unit,,,Sydney Blue Gum,Eucalyptus saligna,2010-10-20,,,,,,,,
,-37.82877414747356,,144.97252296533725,,,,plaques,3rd division signals a.i.f.,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.830310550572754,,144.9726217956095,,,,plaques,korea and south east asia forces association of australia (vic. branch),,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.82801653068633,,144.9719108621663,,,,plaques,2/2 army field workshops,,,Queensland Kauri,Agathis robusta,1998-07-09,,,,,,,,
,-37.83058378299159,,144.97225005063945,,,,plaques,commando squadrons,,,Tasmainian Blue Gum,Eucalyptus globulus,1998-07-09,,,,,,,,
,-37.83092492480735,,144.97278654336202,,,,plaques,2/3rd australian machine gun battalion,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.830982607450245,,144.9720334779853,,,,plaques,u.s.s. houston,,,Prickly Paperbark,Melaleuca styphelioides,1998-07-09,,,,,,,,
,-37.83018230090757,,144.97273097223118,,,,plaques,the new guinea women's association melbourne,,,,,,,,,,,,,
,-37.82884194541483,,144.973409255909,,,,plaques,infantry 60th battalion,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.830981520446784,,144.97410594725181,,,,plaques,"world war ii ""bathurst class corvette""",,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.828718457145655,,144.97271672989964,,,,plaques,2nd machine gun battalion,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.82836356609248,,144.972334239037,,,,plaques,26 aust. inf. bn. (aif),,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.830700085530246,,144.97457221661702,,,,plaques,no. 5 air field construction squadron,,,English Oak,Quercus robur,1998-04-09,,,,,,,,
,-37.83257499684884,,144.97324836199937,,,,plaques,fighter squadrons,,,River Sheoak,Casuarina cunninghamiana,2011-10-06,,,,,,,,
,-37.832349033462144,,144.97319375781473,,,,plaques,no. 3 airfield construction squadron,,,Red Cedar,Juniperus virginiana,2011-10-06,,,,,,,,
,-37.83151983814528,,144.97464285395762,,,,plaques,royal canadian navy,,,Algerian Oak,Quercus canariensis,1998-04-09,,,,,,,,
,-37.83141323463639,,144.9723395986132,,,,plaques,australian ships of the far east strategic reserve,,,Stone Pine,Pinus pinea,2010-08-30,,,,,,,,
,-37.82942379805941,,144.97231850732152,,,,plaques,signal 8th division and 6 line section,,,Snow-in-Summer,Melaleuca linariifolia,1998-07-09,,,,,,,,
