latitude,longitude,type,info,category,female,male,wheelchair,operator,baby_facil,address,name,geometry,location_id
-37.81243580767888,144.97368439844223,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.97368439844223 -37.81243580767888),18
-37.816927072109706,144.9837045105586,Old Style Steel Drinking Fountain,,drinking_fountains,,,,,,,,POINT (144.9837045105586 -37.816927072109706),93
-37.80725891583743,144.94696422855037,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.94696422855037 -37.80725891583743),87
-37.79735380762625,144.95284368062156,Drinking Fountain / Type 1,,drinking_fountains,,,,,,,,POINT (144.95284368062156 -37.79735380762625),121
-37.79583501177402,144.96807205336754,Leaf Type / Dog Bowl ,Neill Street Reserve,drinking_fountains,,,,,,,,POINT (144.96807205336754 -37.79583501177402),50
-37.813703464993914,144.96524821218875,Drinking Fountain / Type 1,,drinking_fountains,,,,,,,,POINT (144.96524821218875 -37.813703464993914),2
-37.816008130348806,144.94552203541383,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.94552203541383 -37.816008130348806),78
-37.811115148970096,144.96662794395766,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.96662794395766 -37.811115148970096),30
-37.806116903955164,144.9571333967204,Drinking Fountain / Type 1,,drinking_fountains,,,,,,,,POINT (144.9571333967204 -37.806116903955164),27
-37.8452141594852,144.98256140204748,Leaf Type / Dog Bowl ,Fawkner Park,drinking_fountains,,,,,,,,POINT (144.98256140204748 -37.8452141594852),129
-37.81047950700537,144.96434622822136,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.96434622822136 -37.81047950700537),66
-37.795526766864704,144.93075415955866,Stainless Steel Drinking Fountain / Leaf Type,Bellair Street Reserve,drinking_fountains,,,,,,,,POINT (144.93075415955866 -37.795526766864704),76
-37.800491981075275,144.96374391208968,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.96374391208968 -37.800491981075275),42
-37.82024273028081,144.95962780503942,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.95962780503942 -37.82024273028081),131
-37.82022017744959,144.94480746086566,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains,,,,,,,,POINT (144.94480746086566 -37.82022017744959),10
-37.81232314728076,144.98893301349375,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.98893301349375 -37.81232314728076),93
-37.795594738274296,144.9691367333386,Stainless Steel Drinking Fountain / Leaf Type,Neill Street Reserve,drinking_fountains,,,,,,,,POINT (144.9691367333386 -37.795594738274296),50
-37.79622591094481,144.92675323715673,Historic or Heritage Drinking Fountains / Warun Biik Park,,drinking_fountains,,,,,,,,POINT (144.92675323715673 -37.79622591094481),85
-37.79125129687361,144.93147576642454,Drinking Fountain / Type 1,,drinking_fountains,,,,,,,,POINT (144.93147576642454 -37.79125129687361),103
-37.79166434549512,144.95175691050537,Leaf Type / Dog Bowl ,Royal Park,drinking_fountains,,,,,,,,POINT (144.95175691050537 -37.79166434549512),121
-37.828809493040296,144.97413127261856,Stainless Steel Drinking Fountain / Leaf Type,Kings Domain South,drinking_fountains,,,,,,,,POINT (144.97413127261856 -37.828809493040296),115
