tree_common_name,tree_scientific_name,date_of_tree_planted,latitude,longitude,title,category
Moreton Bay Fig,Ficus macrophylla,1998-07-09,-37.82760125275574,144.97254825343148,7th battalion.,plaques
English Elm,Ulmus procera,1998-07-09,-37.82704988109227,144.97212252083713,headquarters 4th brigade,plaques
Pyramid Tree,Lagunaria patersonia,2000-01-02,-37.829141569078274,144.97224636047963,2/12 field artillery regiment,plaques
,,,-37.830291746410595,144.9742988801904,legacy garden of appreciation,plaques
,,,-37.83028476987695,144.97211382679464,airborne forces,plaques
Smooth-barked Apple Myrtle,Angophora costata,1998-02-09,-37.82988838867988,144.974126531272,r.a.a.f. malaya,plaques
English Elm,Ulmus procera,1998-07-09,-37.828890611123,144.97175047419984,2/7th australian field regiment,plaques
Monterey Cypress,Hesperocyparis macrocarpa,2000-01-02,-37.827959221713186,144.97177518329275,australia indigenous service men and women,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82748940139395,144.97216013781946,australian light horse engineers.,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83120921983537,144.97329800931013,women's royal australian army corps,plaques
Willow Leaf Peppermint,Eucalyptus nicholii,1998-02-09,-37.830062567393824,144.9742092537742,royal air force,plaques
Lilly-Pilly,Syzygium floribundum,2000-01-02,-37.83119128881961,144.97522551096523,hmas quiberon,plaques
Queensland Lacebark,Brachychiton discolor,2010-08-30,-37.82827169114593,144.9730224292286,31st battalion,plaques
English Elm,Ulmus procera,2000-01-02,-37.83101428486166,144.97447034142832,naval association of australia,plaques
Outeniqua Yellowood,Afrocarpus falcatus,2010-10-20,-37.82804791550389,144.97294311374992,singapore,plaques
English Elm,Ulmus procera,1998-04-09,-37.83143075962261,144.97444133977382,australian and american sacrifices in the defence of the pacific,plaques
White Poplar,Populus alba,1998-07-09,-37.83169310139106,144.97304911627035,22 repair and servicing unit raaf,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82796510980705,144.97267690538854,ran bridging train,plaques
Brush Box,Lophostemon confertus,2010-08-30,-37.83021804438931,144.9718500116087,darwin defenders,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.828639346974704,144.97210002350786,2/8th armoured regiment a.i.f,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.83047867928209,144.97234791439254,1st commando regiment,plaques
Golden Poplar,Populus x canadensis,1998-07-09,-37.828517978361376,144.97300125995406,58th battalion,plaques
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82805567514444,144.97311116682584,syria r.a.a.f.,plaques
Ironbark,Eucalyptus sideroxylon,2014-06-04,-37.83076173802408,144.97441577976116,no. 21 (city of melbourne) squadron,plaques
,,,-37.82868357226139,144.97319249039356,ex-servicewomen's associations (victoria),plaques
,,,-37.83004200353358,144.97203594113589,the melbourne branch of the association of wrens,plaques
Dutch Elm,Ulmus x hollandica,1998-07-09,-37.831960245330066,144.97371081164684,women's auxiliary australia air force,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82769054106862,144.97224893209227,1st divison signal company,plaques
Bogong Gum,Eucalyptus chapmaniana,1998-07-09,-37.83188577231149,144.972311208573,australia's national servicemen,plaques
Variegated Brush Box,Lophostemon confertus Variegatus,1998-03-09,-37.83196543631162,144.97541636494722,war widows' guild,plaques
Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,-37.83059593609015,144.9720975807512,commando squadrons,plaques
Flame Tree,Brachychiton acerifolius,2017-04-11,-37.83046902995829,144.9745044552407,netherland's service personnel,plaques
,,,-37.83079014901423,144.9725272014481,garden of remembrance,plaques
Bhutan Cypress,Cupressus torulosa,1998-02-09,-37.831160897106216,144.9739879877765,h.m.a.s. yarra,plaques
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82812179036519,144.97317741370765,r.a.a.f. north africa,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.8307037938507,144.97204974755397,royal corps of australian electrical and mechanical engineers,plaques
tba,Ficus carica,2012-10-04,-37.82850285713582,144.9720342269703,the rats of tobruk association,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82816397936787,144.97224142472442,14/32 aust inf bn (aif),plaques
,,,-37.827019870860255,144.9735146655711,ian perdriau am,plaques
Queensland Kauri,Agathis robusta,1998-07-09,-37.827825309473916,144.97259154341393,2nd division aust. mech transport company,plaques
Ironbark,Eucalyptus sideroxylon,2005-08-16,-37.82894543479477,144.97202960799083,2/23rd australian infantry battalion,plaques
