latitude,longitude,type,info,category
-37.79148137934659,144.95640337310826,Leaf Type / With Bottle Refill Tap,Royal Park,drinking_fountains
-37.781971287851476,144.95606844481355,Leaf Type / With Bottle Refill Tap,Royal Park,drinking_fountains
-37.79451455017051,144.9159122539464,Leaf Type / Dog Bowl ,Riverside Park,drinking_fountains
-37.819376190936254,144.96425791163875,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains
-37.80719483579952,144.97264821832775,Treated Timber Drinking Fountain / Carlton Gardens South,,drinking_fountains
-37.80333644461803,144.94973046402842,Ornamental Drinking Fountain / Errol St North Melbourne,,drinking_fountains
-37.8200996090771,144.96520412105647,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.81191194838843,144.97076931535327,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.81108547106561,144.986823716213,Stainless Steel Drinking Fountain / Leaf Type,Powlett Reserve,drinking_fountains
-37.79634473440512,144.95295625926101,Treated Timber Drinking Fountain / Ievers Reserve,,drinking_fountains
-37.83352412979702,144.98347223277543,Leaf Type / Dog Bowl ,Kings Domain South,drinking_fountains
-37.81655981940826,144.958479412123,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.81906773607154,144.95451978482612,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.81262231879966,144.95695726799045,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.78972452756684,144.95542692736785,Leaf Type / Dog Bowl ,Royal Park,drinking_fountains
-37.81949228639884,144.94459499380662,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.807152962975586,144.95128617901676,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.81013008750712,144.99100554178736,Drinking Fountain / Type 1,,drinking_fountains
-37.814022713257685,144.96377589639772,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.83822661704696,144.9845757117782,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.80218636204077,144.97111015985016,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.80154324073521,144.97074694104214,Leaf Type / With Bottle Refill Tap,Carlton Gardens North,drinking_fountains
-37.78615201108828,144.95349293828525,Stainless Steel Drinking Fountain / Leaf Type,Royal Park,drinking_fountains
-37.81992693832316,144.94314585668042,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.81890778973109,144.97301938244627,Historic or Heritage Drinking Fountains / Birrarung Marr,,drinking_fountains
-37.811441273333834,144.95511626726946,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.82016422388396,144.9419807414183,Stainless Steel Drinking Fountain / Old Docklands Type,,drinking_fountains
-37.827924925554626,144.98354503295144,unspecified type / Alexandra Park,,drinking_fountains
-37.81472791168905,144.93868934270515,Leaf Type / Dog Bowl ,New Quay Central Park,drinking_fountains
-37.80831892386757,144.97445245211898,Old Style Steel Drinking Fountain,,drinking_fountains
-37.82340947086067,144.94065316721642,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains
-37.818393312901414,144.94467796351668,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.787145044550506,144.95944649397603,Stainless Steel Drinking Fountain / Leaf Type,Princes Park,drinking_fountains
-37.84105383065132,144.98474159117376,unspecified type / Fawkner Park,,drinking_fountains
-37.83912302483119,144.98029597307354,Stainless Steel Drinking Fountain / Leaf Type,Fawkner Park,drinking_fountains
-37.80696316737549,144.97097533310074,Treated Timber Drinking Fountain / Carlton Gardens South,,drinking_fountains
-37.82006369883412,144.94335006764553,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.82416129460037,144.94386411864073,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.81047413141583,144.98106657764444,Leaf Type / Dog Bowl ,Fitzroy Gardens,drinking_fountains
-37.81426414724787,144.97865144245154,Leaf Type / With Bottle Refill Tap,Fitzroy Gardens,drinking_fountains
-37.81877097793573,144.97408155357158,Leaf Type / With Bottle Refill Tap,Birrarung Marr,drinking_fountains
-37.811816918335545,144.9647358013035,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.829394894475676,144.97402641133465,Stainless Steel Drinking Fountain / Leaf Type,Kings Domain South,drinking_fountains
-37.789426340332234,144.92521601291634,Drinking Fountain / Type 1,,drinking_fountains
-37.82093618828216,144.94302877180849,Stainless Steel Drinking Fountain / Old Docklands Type,,drinking_fountains
-37.807299202453336,144.9638063589646,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.81775113289117,144.9668727624917,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.78516928275589,144.9629960270774,Stainless Steel Drinking Fountain / Leaf Type,Princes Park,drinking_fountains
-37.808763201408944,144.9755999159518,Drinking Fountain / Monument Style Type 3,,drinking_fountains
-37.81370900165242,144.96521920731234,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.78528312570061,144.96618877508342,Drinking Fountain / Monument Style Type 5,,drinking_fountains
-37.812116364293914,144.96242655579448,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.794860401126186,144.97032531494713,Stainless Steel Drinking Fountain / Leaf Type,Neill Street Reserve,drinking_fountains
-37.81933413777128,144.96443696866604,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains
-37.797011044237784,144.96719442537855,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.817347815583766,144.9877967436974,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.80873006707316,144.945010465895,Stainless Steel Drinking Fountain / Leaf Type,Hawke and Adderley Street Park,drinking_fountains
-37.81522141134258,144.96172628554172,Drinking Fountain / Type 1,,drinking_fountains
-37.82050899334054,144.94485852337164,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains
-37.79332999851195,144.97374160438724,Treated Timber Drinking Fountain / Neill & Canning Street Reserve (CARLTON),,drinking_fountains
-37.82553356070186,144.96099800648864,Historic or Heritage Drinking Fountains / Boyd Community Hub (SOUTHBANK),,drinking_fountains
-37.82220232720067,144.956603131736,Treated Timber Drinking Fountain / Batman Park,,drinking_fountains
-37.793822787803755,144.958038101861,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.78533232662653,144.9534737646951,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.809792956338455,144.95510199726527,Treated Timber Drinking Fountain / Flagstaff Gardens,,drinking_fountains
-37.817906690815356,144.96632571147111,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.807115639803214,144.95593164435638,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.83463602099828,144.97488441712127,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.826019122772884,144.96821302911962,Stainless Steel Drinking Fountain / Leaf Type,Grant Street Reserve,drinking_fountains
-37.82449321904346,144.945698116347,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.818037935423334,144.9566252834487,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.840591031294394,144.9842020334054,Stainless Steel Drinking Fountain / Leaf Type,Fawkner Park,drinking_fountains
-37.82012801999004,144.94484546150136,Historic or Heritage Drinking Fountains / Victoria Green,,drinking_fountains
-37.82514308986054,144.97830100199906,Stainless Steel Drinking Fountain / Leaf Type,Kings Domain South,drinking_fountains
-37.79690982991827,144.93887017448856,Leaf Type / Dog Bowl ,Clayton Reserve,drinking_fountains
-37.81714667057808,144.93410355599931,Stainless Steel Drinking Fountain / Leaf Type,Ron Barassi Senior Park,drinking_fountains
-37.80774274876369,144.96308654177773,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.82072500491043,144.97068041637496,Stainless Steel Drinking Fountain / Leaf Type,Alexandra Gardens,drinking_fountains
-37.814286786699014,144.94481901237222,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.813427946638626,144.94277418583766,Stainless Steel Drinking Fountain / Old Docklands Type,,drinking_fountains
-37.79515817674436,144.9710380792056,Drinking Fountain / Type 1,,drinking_fountains
-37.78858107833513,144.9262313297776,Drinking Fountain / Type 2,Stock Route Reserve (KENSINGTON),drinking_fountains
-37.777124890749405,144.95150670643167,Stainless Steel Drinking Fountain / Leaf Type,Royal Park,drinking_fountains
-37.82087796877212,144.97293196853022,Stainless Steel Drinking Fountain / Leaf Type,Alexandra Gardens,drinking_fountains
-37.837913044811074,144.9818740242421,Leaf Type / Dog Bowl ,Fawkner Park,drinking_fountains
-37.8060370483463,144.95639004511094,Drinking Fountain / Type 1,,drinking_fountains
-37.82018203006011,144.96060794598628,Drinking Fountain / Type 1,,drinking_fountains
-37.802013714097406,144.95783228776227,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.81030304680633,144.9786636062916,Leaf Type / With Bottle Refill Tap,Fitzroy Gardens,drinking_fountains
-37.814436444048496,144.97774297882825,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.82039536598253,144.94148537021343,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.7989933421049,144.94335952463908,unspecified type / Gardiner Reserve,,drinking_fountains
-37.82249308106257,144.97114401537564,Leaf Type / With Bottle Refill Tap,Queen Victoria Gardens,drinking_fountains
-37.81165168802,144.98072416956458,Leaf Type / With Bottle Refill Tap,Fitzroy Gardens,drinking_fountains
-37.778630360270995,144.96168045209797,Leaf Type / Dog Bowl ,Princes Park,drinking_fountains
-37.79016688522425,144.92406824328089,Treated Timber Drinking Fountain / Stock Bridge (KENSINGTON),,drinking_fountains
