address,latitude,created_date,longitude,organisation,classification,name,category,title,type,website,tree_common_name,tree_scientific_name,date_of_tree_planted,theme,sub_theme,geometry,location_id
"Basement, 387 Flinders Lane, Melbourne, 3000",-37.818170221925946,,144.9612683910999,,,Off The Hip Records,music_venues,,Multi-use,https://whatson.melbourne.vic.gov.au/Shopping/BooksMusicandStationery/Music/Pages/1418.aspx,,,,,,POINT (144.9612683910999 -37.818170221925946),36
"Level 1, 520-522 Flinders Street, Melbourne, 3000",-37.820357932687585,,144.95696625309793,,,Speakeasy HQ,music_venues,,Theatre,http://speakeasy-hq.com/,,,,,,POINT (144.95696625309793 -37.820357932687585),131
"Basement,Part Ground & Part Level 8, 180 Russell Street, Melbourne, 3000",-37.812052247519325,,144.96793672846434,,,170 Russell/Billboard Nightclub,music_venues,,Nightclub,http://billboardsaturdays.com.au/,,,,,,POINT (144.96793672846434 -37.812052247519325),21
"15 Dukes Walk, South Wharf, 3006",-37.82438903938934,,144.95063258929684,,,Melbourne Public,music_venues,,,,,,,,,POINT (144.95063258929684 -37.82438903938934),8
"Gnd & Flr1, 427 Little Collins Street, Melbourne, 3000",-37.81619295477831,,144.960463460251,,,The Irish Times Pub,music_venues,,Bar,http://theirishtimespub.com.au/,,,,,,POINT (144.960463460251 -37.81619295477831),36
"Ground, 120 King Street, Melbourne, 3000",-37.81726434461992,,144.95638356625756,,,El Coco,music_venues,,Nightclub,http://elcoco.com.au/,,,,,,POINT (144.95638356625756 -37.81726434461992),73
"Level 1, 37-41 Little Bourke Street, Melbourne, 3000",-37.810747836953425,,144.97146559576274,,,Vamos,music_venues,,Bar,http://www.vamos.net.au/,,,,,,POINT (144.97146559576274 -37.810747836953425),40
"251 Faraday Street, Carlton, 3053",-37.79861750965004,,144.9654893886899,,,Kathleen Syme Library and Community Centre,music_venues,,Multi-use,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/kathleen-syme-library-and-community-centre/Pages/kathleen-syme-library.aspx,,,,,,POINT (144.9654893886899 -37.79861750965004),104
"156 Collins Street, Melbourne, 3000",-37.8148247935781,,144.96831819904696,,,Assembly Hall,music_venues,,Performance space,http://www.hallsforhire.com.au/halls/the-assembly-hall,,,,,,POINT (144.96831819904696 -37.8148247935781),98
"300 Epsom Road, Flemington, 3032",-37.78040735195738,,144.91437999700486,,,Melbourne Showgrounds,music_venues,,Amusement/Theme Venue,https://www.melbourneshowgrounds.com/,,,,,,POINT (144.91437999700486 -37.78040735195738),103
"Level 1-2, 239 Lonsdale Street, Melbourne, 3000",-37.811527225540964,,144.96535317015017,,,Ferdydurke,music_venues,,Bar,http://www.ferdydurke.com.au/,,,,,,POINT (144.96535317015017 -37.811527225540964),19
"300 Dudley Street, West Melbourne, 3003",-37.811437769852866,,144.9461726133059,,,Festival Hall,music_venues,,Performance space,http://www.festivalhall.com.au/,,,,,,POINT (144.9461726133059 -37.811437769852866),120
"Basement, 67 Hardware Lane, Melbourne, 3000",-37.81325334536212,,144.9610159338816,,,Charlie's Bar,music_venues,,,,,,,,,POINT (144.9610159338816 -37.81325334536212),56
"Ground, 106 Little Lonsdale Street, Melbourne, 3000",-37.809251212232525,,144.96862686025293,,,Troika Bar,music_venues,,Bar,http://troikabar.com/,,,,,,POINT (144.96862686025293 -37.809251212232525),20
"Level 1, 15 Queen Street, Melbourne, 3000",-37.818408350668456,,144.96207799460493,,,Live Performance Australia,music_venues,,Multi-use,http://www.liveperformance.com.au/,,,,,,POINT (144.96207799460493 -37.818408350668456),14
"65-159 Victoria Street, Melbourne, 3000",-37.806188527484565,,144.9575348670326,,,Queen Victoria Market,music_venues,,Performance space,http://qvm.com.au/,,,,,,POINT (144.9575348670326 -37.806188527484565),27
"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000",-37.81914827560788,,144.96232307486835,,,Platform One,music_venues,,Nightclub,http://www.platformone.com.au/,,,,,,POINT (144.96232307486835 -37.81914827560788),14
"Unit S13, Level 6, 252 Swanston Street, Melbourne, 3000",-37.81204087370973,,144.96505253454222,,,Mesa Verde,music_venues,,Bar,http://www.mesaverde.net.au/,,,,,,POINT (144.96505253454222 -37.81204087370973),19
"Suite 12, Basement, 108 Bourke Street, Melbourne, 3000",-37.8121190907495,,144.9699347659403,,,Bass Lounge,music_venues,,,,,,,,,POINT (144.9699347659403 -37.8121190907495),71
"Basement, 85 Queen Street, Melbourne, 3000",-37.816506994449085,,144.96120225838388,,,The Black Rabbit,music_venues,,Nightclub,https://www.blackrabbit.melbourne/,,,,,,POINT (144.96120225838388 -37.816506994449085),36
"191-197 Collins Street, Melbourne, 3000",-37.81534585273267,,144.9675380003948,,,Regent Theatre,music_venues,,Theatre,https://marrinergroup.com.au/venues/regent-theatre,,,,,,POINT (144.9675380003948 -37.81534585273267),65
"Shop 52, Level 2, 8 Whiteman Street, Southbank, 3006",-37.82381122217111,,144.95741449297574,,,Therapy Nightclub  at Crown,music_venues,,Nightclub,http://www.level3atcrown.com.au/,,,,,,POINT (144.95741449297574 -37.82381122217111),25
