title,latitude,longitude,category
Another View Site 1,-37.8112943375038,144.973169010105,memorials
Hotham Hill Pavement Inlay,-37.7949047877064,144.940383505871,memorials
French Fountain,-37.8049009334589,144.972849862515,memorials
Ecophene,-37.8198056338124,144.963285369515,memorials
John Batman Memorial,-37.8081355068188,144.957645917366,memorials
"Three Businessmen Who Brought Their Own Lunch: Batman, Swanston & Hoddle",-37.81368540194,144.965574495439,memorials
Mary Gilbert Memorial,-37.8140756775122,144.978560254824,memorials
Eel Trap,-37.8191221578639,144.974075813898,memorials
John F. Kennedy Memorial,-37.8136597452278,144.976354471097,memorials
Samuel Mauger Drinking Fountain,-37.8082489627974,144.975315343723,memorials
Waterfall Fountain,-37.813717094785,144.980140702756,memorials
Coat of Arms,-37.8151041704989,144.96646930561,memorials
Horse Hitching Post,-37.8150299439513,144.974931522269,memorials
Brunton Drinking Fountain West,-37.8184091013264,144.978855433923,memorials
Scar: A Stolen Vision,-37.8201016644485,144.959454354553,memorials
Hotham Hill Seat,-37.7949352206982,144.940340755268,memorials
Australia Today and Tomorrow,-37.8140548926813,144.967338697856,memorials
Stapley Memorial Drinking Fountain,-37.8189109755954,144.973021226526,memorials
Tilly Aston Bell,-37.8253717421153,144.975900160659,memorials
