female,male,wheelchair,operator,baby_facil,latitude,longitude,type,address,category
yes,yes,no,City of Melbourne,no,-37.80682129201847,144.95874700464088,Queen Victoria Market,"(Meat Hall / ""H"" Shed)",toilets
yes,yes,yes,City of Melbourne,no,-37.813418435008906,144.97746700744847,Toilet 122,Treasury Gardens (Store and Toilet),toilets
yes,yes,yes,City of Melbourne,no,-37.78303248417686,144.94185635299425,Toilet 120,"Royal Park, Wetland (off Oak Street)",toilets
yes,yes,yes,City of Melbourne,no,-37.83393826633729,144.98178404635058,Toilet 103,Kings Domain South (Opposite 169 Domain Road),toilets
yes,yes,yes,City of Melbourne,yes,-37.807831221471965,144.95795526595654,Queen Victoria Market (465 Queen Street),,toilets
yes,yes,yes,City of Melbourne,no,-37.80207629420745,144.96642403988702,Toilet 178, Argyle Place North (Opposite 4 Argyle Place North),toilets
yes,yes,yes,City of Melbourne,no,-37.79251146448698,144.95685172084129,Toilet 100,Royal ParkNative Garden (off Gatehouse Street),toilets
yes,no,no,City of Melbourne,no,-37.812240775587135,144.97392555886628,Toilet 125,Gordon Reserve (74-108 Spring Street),toilets
yes,yes,yes,City of Melbourne,no,-37.78790482714769,144.95949479077186,Toilet 52,Princes Park (Adjacent Southern Sports Pavilion),toilets
yes,yes,yes,City of Melbourne,no,-37.80271182455448,144.9622681269577,Toilet 179,Lincoln Square (138-142 Bouverie Street),toilets
yes,yes,yes,City of Melbourne,no,-37.815838165017645,144.9610620730027,Toilet 43,Queen Street (opposite 113 Queen Street),toilets
yes,yes,yes,City of Melbourne,no,-37.82294828867767,144.97098568179825,Toilet 110,Queen Victoria Gardens (Linlithgow Avenue),toilets
